ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,PO_NAME0,STATE_0,MSA_0,CBSA_CODE0,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
28690,VALDESE,NC,9455,Hickory,176,5221,,124462,176,4613,,119717,25860,26,8,18,22,5,17,366249,187700,178549,352619,181948,170671,22,20,2,27,21,6,1786327,1432035,354292,1878709,1492857,385852,4,2,2,2,1,1,120552,78486,42066,137293,89935,47358,VALDESE,NC,Hickory,25860,30,17,176,176,2.21,-1.11,-1.10,0.00,17
28609,CATAWBA,NC,5623,Hickory,64,2959,,106333,69,2550,,87085,25860,13,5,8,14,6,8,366249,187700,178549,352619,181948,170671,9,8,1,9,8,1,1055419,830885,224534,1094696,855085,239611,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,CATAWBA,NC,Hickory,25860,11,13,71,69,2.21,-1.33,-3.70,-2.82,18
28602,HICKORY,NC,28031,Hickory,1026,19777,,462443,1099,22918,,581051,25860,124,56,68,110,40,70,366249,187700,178549,352619,181948,170671,198,162,36,207,170,37,1786327,1432035,354292,1878709,1492857,385852,29,27,2,13,8,5,120552,78486,42066,137293,89935,47358,HICKORY,NC,Hickory,25860,8,21,1058,1099,2.21,-0.62,2.28,3.88,19
28637,HILDEBRAN,NC,1285,Hickory,96,2154,,46073,94,2195,,47403,25860,21,9,12,20,7,13,366249,187700,178549,352619,181948,170671,14,10,4,13,12,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,HILDEBRAN,NC,Hickory,25860,18,14,96,98,2.21,-1.85,1.72,2.08,20
28658,NEWTON,NC,24888,Hickory,522,10750,,249251,511,10366,,265750,25860,76,25,51,78,20,58,366249,187700,178549,352619,181948,170671,84,74,10,101,90,11,1786327,1432035,354292,1878709,1492857,385852,14,8,6,7,4,3,120552,78486,42066,137293,89935,47358,NEWTON,NC,Hickory,25860,25,19,527,511,2.21,-0.72,-4.52,-3.04,21
28673,SHERRILLS FORD,NC,4441,Hickory,68,297,,7505,83,312,,8946,25860,2,1,1,2,1,1,366249,187700,178549,352619,181948,170671,23,19,4,24,23,1,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,SHERRILLS,NC,Hickory,25860,26,16,88,83,2.21,0.51,-8.40,-5.68,22
28168,VALE,NC,10022,Hickory,118,688,,13526,130,799,,15504,25860,15,9,6,14,8,6,366249,187700,178549,352619,181948,170671,21,20,1,14,13,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,VALE,NC,Hickory,25860,6,14,178,130,2.21,-1.39,-27.79,-26.97,23
28650,MAIDEN,NC,10914,Hickory,176,3255,,72175,169,3065,,71489,25860,25,14,11,33,13,20,366249,187700,178549,352619,181948,170671,19,16,3,20,16,4,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,MAIDEN,NC,Hickory,25860,21,16,176,194,2.21,-1.76,9.78,10.23,24
28682,TERRELL,NC,641,Hickory,20,278,,12730,30,340,,16162,25860,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,3,3,0,6,6,0,1038110,838615,199495,1099119,876356,222763,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,TERRELL,NC,Hickory,25860,29,10,27,30,2.21,0.33,8.58,11.11,25
28092,LINCOLNTON,NC,34954,Hickory,664,11177,,255518,670,11471,,263031,25860,51,21,30,56,18,38,366249,187700,178549,352619,181948,170671,135,117,18,107,85,22,1786327,1432035,354292,1878709,1492857,385852,11,10,1,8,4,4,120552,78486,42066,137293,89935,47358,LINCOLNTO,NC,Hickory,25860,5,19,700,670,2.21,-0.44,-6.05,-4.29,26
28090,LAWNDALE,NC,8659,Hickory,83,637,,13161,90,694,,9855,25860,5,3,2,5,2,3,366249,187700,178549,352619,181948,170671,13,9,4,10,8,2,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,LAWNDALE,NC,Hickory,25860,4,16,253,90,2.21,1.29,-67.93,-64.43,27
28037,DENVER,NC,12778,Hickory,343,3829,,94346,378,4887,,139037,25860,24,17,7,23,15,8,366249,187700,178549,352619,181948,170671,89,71,18,90,77,13,1786327,1432035,354292,1878709,1492857,385852,9,9,0,4,4,0,120552,78486,42066,137293,89935,47358,DENVER,NC,Hickory,25860,3,20,419,378,2.21,0.00,-11.99,-9.79,28
