FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
45035010806,Charlesto,7576,1972,434,6024,984,273,170,76,3745,3831,2529,2641,4268,4172,96,2771,1401,3996,1999,1997,316,992,93,62342,7555,168,138600,39
45019003104,Charlesto,4293,894,308,2124,1295,99,694,71,2286,2007,1742,1349,2104,2093,11,1457,636,1992,1229,763,128,210,32,27617,4266,1254,38500,40
45015021000,Charlesto,4791,871,418,3616,716,168,154,54,2719,2072,2084,1418,2120,2108,12,1685,423,1988,1067,921,245,296,20,27321,4091,422,65900,41
45019003108,Charlesto,1879,430,12,949,738,37,91,45,916,963,724,713,1127,1112,15,802,310,1076,529,547,98,109,0,32438,1879,215,86800,42
45019003200,Charlesto,3324,1068,0,2443,523,27,202,95,1822,1502,1283,973,1766,1737,29,1598,139,613,166,447,53,109,0,35262,2850,214,0,43
45019003105,Charlesto,3291,828,329,1311,1574,38,234,87,1621,1670,1041,1093,1440,1424,16,1080,344,1427,771,656,141,158,19,28798,3291,699,42500,44
45035010811,Charlesto,2570,562,240,2067,434,0,34,25,1137,1433,859,909,1211,1190,21,738,452,1255,664,591,102,197,0,40825,2570,273,82800,45
45035010812,Charlesto,7831,2488,182,4375,2829,250,211,166,3892,3939,2498,2663,3819,3764,55,2357,1407,3820,2023,1797,328,656,59,47028,7818,805,90700,46
45015020901,Charlesto,1635,363,256,1319,282,0,0,34,868,767,514,502,747,735,12,601,134,747,404,343,67,51,0,33942,1614,190,68800,47
45019003400,Charlesto,4460,1431,399,1686,2436,30,126,128,2140,2320,1239,1391,1547,1534,13,985,549,1555,893,662,76,133,8,22917,4460,1830,50700,48
45019003109,Charlesto,3430,917,259,2074,990,12,204,131,1669,1761,1065,1189,1693,1651,42,1249,402,1377,653,724,89,169,2,38861,3412,210,70800,49
45019002610,Charlesto,335,72,68,261,60,0,0,0,136,199,80,115,145,145,0,64,81,145,57,88,0,61,0,101198,335,54,283300,50
45019003300,Charlesto,4057,1151,492,800,3018,17,185,37,1810,2247,1138,1276,1234,1234,0,882,352,1229,706,523,133,111,6,18984,4007,1455,48800,51
45019003500,Charlesto,3223,718,691,2089,965,46,90,33,1531,1692,867,947,1321,1321,0,997,324,1318,694,624,120,210,22,35175,3198,538,69400,52
45019003111,Charlesto,6031,1699,410,1807,3598,200,328,90,2951,3080,1920,2002,2489,2454,35,1878,576,2454,1318,1136,234,247,6,26952,6022,1006,46100,53
45019003110,Charlesto,6436,1453,571,3352,2681,127,180,84,3093,3343,2127,2285,3361,3330,31,2828,502,3133,1621,1512,231,541,45,30317,6412,1063,58700,54
45019003600,Charlesto,2791,547,384,1271,1328,111,46,35,1381,1410,932,928,1190,1175,15,970,205,1215,633,582,78,168,7,24173,2775,680,62200,55
45019004605,Charlesto,13097,3495,843,11262,1305,212,287,31,6432,6665,4247,4512,6929,6593,336,4989,1604,6871,3654,3217,205,2288,135,64122,13068,659,174400,56
45019004200,Charlesto,808,0,0,499,16,36,213,44,608,200,608,200,466,436,30,383,53,372,263,109,0,72,0,38750,245,154,0,57
45019003700,Charlesto,4212,1496,230,710,3075,94,287,39,2009,2203,1151,1335,1576,1566,10,1112,454,1563,767,796,83,180,15,16321,4172,1784,55900,58
45019002609,Charlesto,11587,2757,1052,8410,2648,105,253,68,5606,5981,3668,4110,5861,5776,85,3736,2040,5926,3048,2878,296,1643,133,55331,11574,703,135200,59
45019003800,Charlesto,3435,810,510,951,2436,0,0,0,1505,1930,914,1201,1142,1142,0,929,213,1161,567,594,134,95,0,30962,3435,950,49900,60
45019003900,Charlesto,4129,616,421,1630,2302,83,57,57,2781,1348,2240,852,884,866,18,720,146,895,417,478,74,153,9,30938,2383,588,79700,61
45019004100,Charlesto,1317,240,134,211,1082,6,8,7,653,664,490,453,495,490,5,365,125,481,263,218,39,47,0,22708,1253,375,48800,62
45019004300,Charlesto,3122,867,268,225,2758,0,104,35,1650,1472,1112,875,1048,1043,5,677,366,1056,597,459,142,84,0,17917,3122,1313,45800,63
45019002400,Charlesto,4730,1146,572,1445,3183,9,57,32,2271,2459,1403,1609,1759,1704,55,420,1284,1785,887,898,117,240,25,31059,4701,929,66100,64
45019004604,Charlesto,9328,1971,720,7613,1457,48,142,45,4468,4860,3125,3512,4985,4849,136,3543,1306,5026,2591,2435,250,1485,49,55185,9314,465,158800,65
45019004000,Charlesto,2828,809,342,384,2347,0,21,44,1213,1615,730,947,952,952,0,636,316,1022,441,581,45,44,10,22786,2828,914,51100,66
45019004601,Charlesto,10375,2806,578,7945,2074,78,186,77,5046,5329,3289,3702,4853,4632,221,2532,2100,4869,2802,2067,164,1580,99,71657,10375,772,218300,67
45019004400,Charlesto,2057,489,499,260,1786,0,0,0,825,1232,461,608,584,584,0,443,141,593,267,326,32,56,0,16500,1845,700,47400,68
45019004500,Charlesto,1671,580,171,24,1600,40,0,7,770,901,399,521,344,344,0,228,116,344,174,170,17,12,0,11842,1634,832,39100,69
45019002607,Charlesto,10035,1696,703,7056,2190,326,269,165,4846,5189,3722,3914,5716,5640,76,4525,1115,5752,3024,2728,191,1345,119,35659,9617,1137,118600,70
45019002501,Charlesto,1440,317,138,941,498,0,0,0,709,731,507,478,671,659,12,297,362,689,397,292,56,66,0,35688,1436,205,71100,71
45019002604,Charlesto,3666,555,720,2997,489,69,61,40,1754,1912,1153,1238,2011,1951,60,1609,342,2010,1073,937,116,475,44,40500,3636,472,138200,72
45019002606,Charlesto,2297,369,576,2063,210,0,24,0,1063,1234,647,705,1082,1055,27,963,92,1087,549,538,18,321,13,60946,2186,8,144400,73
45019002608,Charlesto,8108,1394,830,5879,1914,148,76,79,3799,4309,2777,3107,4745,4601,144,3372,1229,4787,2397,2390,206,1093,157,41004,7901,769,113200,74
45019004606,Charlesto,7232,1478,1079,5998,1010,34,113,74,3385,3847,2180,2495,3621,3434,187,2957,477,3621,1941,1680,64,812,31,61563,6785,544,212900,75
45019004900,Charlesto,4583,763,698,4480,7,25,42,24,2252,2331,1522,1600,2353,2187,166,1254,933,2350,1314,1036,50,795,38,76170,4581,156,420900,76
45019002605,Charlesto,4104,620,864,2417,1448,74,88,63,1992,2112,1377,1243,1864,1849,15,1474,375,1902,959,943,103,322,24,35472,4087,577,95000,77
45019001400,Charlesto,1010,362,163,6,1004,0,0,0,324,686,144,341,155,155,0,77,78,167,46,121,0,0,0,13750,992,463,52500,78
45019004607,Charlesto,5564,801,974,5290,90,100,47,30,2579,2985,1801,1988,2901,2775,126,2221,554,2892,1426,1466,44,739,58,49654,5428,322,155900,79
45019001600,Charlesto,1776,306,265,341,1370,2,16,47,817,959,551,654,811,802,9,590,212,819,373,446,52,151,13,28646,1767,380,97400,80
45019001500,Charlesto,1615,266,398,153,1452,0,0,10,806,809,498,453,566,566,0,438,128,578,286,292,23,54,6,28021,1615,368,84400,81
45019004700,Charlesto,7464,1498,1036,6457,716,80,54,118,3632,3832,2353,2577,3892,3806,86,3156,650,3955,2066,1889,135,952,80,51658,7459,530,148900,82
45019001300,Charlesto,1795,626,191,84,1655,0,51,5,736,1059,425,553,380,380,0,262,118,353,98,255,0,25,0,9356,1781,1215,61200,83
45019002701,Charlesto,2422,525,228,875,1429,38,38,42,1108,1314,727,942,1160,1130,30,916,214,1184,557,627,49,227,35,23969,2422,745,64400,84
45019001700,Charlesto,1979,281,418,631,1215,0,31,98,904,1075,638,642,1027,999,28,809,190,1015,478,537,14,176,14,40739,1972,350,138500,85
45019001200,Charlesto,1299,197,259,40,1234,0,9,7,599,700,395,448,417,417,0,297,120,427,176,251,33,22,0,19044,1299,322,76700,86
45019002702,Charlesto,5423,1433,546,1224,3931,53,95,29,2406,3017,1476,1968,2239,2212,27,1695,517,2276,986,1290,207,272,15,25274,5415,1091,71400,87
45019000900,Charlesto,1702,388,215,107,1580,0,0,7,864,838,569,530,514,514,0,347,167,535,233,302,58,53,0,19426,1702,616,97700,88
45019001800,Charlesto,1899,21,21,1600,157,34,87,14,1707,192,1685,172,319,307,12,307,0,287,209,78,0,34,7,47500,259,14,151700,89
45019001100,Charlesto,2604,757,399,139,2432,0,33,0,1228,1376,683,765,761,754,7,593,161,801,392,409,60,51,9,13941,2587,1147,83600,90
45019002900,Charlesto,2901,363,519,1762,1015,34,7,83,1399,1502,989,1030,1473,1456,17,1175,281,1483,751,732,26,282,24,34444,2898,429,89300,91
45019001000,Charlesto,1890,268,270,606,1211,15,29,15,921,969,705,647,893,855,38,716,139,921,479,442,59,73,6,17381,1890,752,123900,92
45019002502,Charlesto,6537,1635,728,2807,3486,21,143,70,3118,3419,1986,2188,2659,2599,60,1108,1491,2714,1395,1319,181,457,32,33463,6497,1278,75800,93
45019000700,Charlesto,3059,141,143,2315,607,6,56,68,1131,1928,982,1793,1368,1310,58,1158,152,1379,597,782,19,204,0,12018,2343,1254,123600,94
45019000800,Charlesto,1248,319,268,496,650,0,54,39,499,749,249,412,463,451,12,405,46,476,148,328,34,83,0,31339,1248,447,329300,95
45019002800,Charlesto,7188,1304,1175,6117,929,42,23,58,3487,3701,2258,2451,3858,3709,149,3154,555,3940,2006,1934,177,945,74,47341,7188,342,129300,96
45019000600,Charlesto,1597,61,102,1148,335,101,0,13,1046,551,966,468,752,726,26,627,99,630,289,341,28,86,13,17563,1513,748,257800,97
45019003000,Charlesto,3131,494,804,3113,4,0,8,6,1381,1750,835,998,1508,1424,84,1276,148,1513,752,761,15,435,30,53125,3125,163,170400,98
45019000300,Charlesto,500,64,32,473,0,9,18,0,253,247,193,211,247,233,14,216,17,266,159,107,0,94,22,36544,478,84,545700,99
45019000400,Charlesto,2939,125,383,2377,415,100,28,13,1217,1722,1038,1393,1305,1227,78,1172,55,1424,731,693,0,325,23,15216,1896,787,346100,100
45019002101,Charlesto,7066,1618,699,4222,2182,144,402,111,3425,3641,2277,2472,3236,3145,91,1678,1467,3282,1729,1553,159,534,8,35548,7066,952,76600,101
45019000500,Charlesto,2174,154,369,2101,13,11,13,36,968,1206,763,888,1123,1070,53,957,113,1123,586,537,32,306,18,35610,2174,562,442900,102
45019000100,Charlesto,2645,428,349,2299,297,26,23,0,1190,1455,840,1028,1347,1293,54,1154,139,1294,641,653,28,432,0,46382,2578,296,506900,103
45019000200,Charlesto,1587,107,427,1540,22,7,18,0,794,793,547,506,688,593,95,535,58,701,418,283,19,343,21,72067,1587,89,713600,104
45019004800,Charlesto,1911,411,213,1852,15,7,27,10,954,957,644,643,990,914,76,726,188,998,571,427,12,338,10,72955,1911,80,597200,105
45019001902,Charlesto,3799,722,509,2902,829,24,44,0,1792,2007,1229,1339,1807,1785,22,1414,371,1791,861,930,20,496,12,38373,3799,720,136100,106
45019001901,Charlesto,3767,592,660,3099,531,36,47,24,1877,1890,1296,1219,2067,1987,80,1504,483,2066,1102,964,15,467,39,42390,3767,444,119400,107
45019002007,Charlesto,3090,632,453,3018,18,12,30,12,1467,1623,925,1080,1601,1566,35,1233,333,1625,867,758,17,494,44,69420,3090,104,190200,108
45019002005,Charlesto,5340,1195,570,5009,154,0,119,0,2611,2729,1743,1832,3091,2956,135,2120,836,3089,1574,1515,89,874,50,65089,5331,221,151900,109
45019002102,Charlesto,5601,777,1275,3673,1468,7,394,36,2796,2805,1664,1885,2281,2133,148,1082,1051,2321,1243,1078,84,532,29,53839,5601,582,308200,110
45019002006,Charlesto,4221,740,743,3283,913,0,18,7,2010,2211,1365,1373,2171,2111,60,1713,398,2185,1168,1017,101,556,38,46784,4221,286,132000,111
45019002002,Charlesto,6003,1190,620,5071,649,91,97,95,2957,3046,2044,2149,3253,3169,84,2347,822,3240,1578,1662,97,756,57,40310,5994,582,108500,112
45019002003,Charlesto,5773,949,1247,2573,3160,0,20,20,2692,3081,1702,1875,2588,2560,28,1699,861,2625,1283,1342,143,437,22,37859,5660,550,94100,113
45019002200,Charlesto,2584,542,349,824,1668,0,85,7,1208,1376,823,870,982,960,22,296,664,982,483,499,63,152,19,31653,2584,525,83600,114
45019002004,Charlesto,1879,174,207,1830,5,0,18,17,959,920,774,724,1174,1114,60,747,367,1202,628,574,30,316,20,46492,1879,232,296700,115
45019002300,Charlesto,1558,375,235,687,726,0,139,6,724,834,426,522,545,545,0,344,201,551,270,281,46,76,9,23438,1558,448,110900,116
