sname,api06,avgedyrs,meals,englearn,full,emer
Grant (Ulysses S.) Senior High,636,12.88,78,31,90,2
Hamilton (Alexander) Senior High,654,13.84,52,14,85,6
Hollywood Senior High,601,12.76,77,40,87,3
Huntington Park Senior High,542,11.54,92,39,90,9
Jefferson (Thomas) Senior High,451,10.88,93,48,80,14
Jordan (David Starr) Senior High,483,11.7,81,44,65,19
Lincoln (Abraham) Senior High,566,11.78,82,39,84,9
Locke (Alain Leroy) Senior High,504,11.78,80,31,71,8
Los Angeles Senior High,522,12.16,65,47,86,3
Manual Arts Senior High,511,11.66,72,39,87,8
Marshall (John) Senior High,630,12.9,71,26,96,1
Monroe (James) High,607,12,77,46,89,3
Narbonne (Nathaniel) Senior High,614,13.1,51,14,89,5
North Hollywood Senior High,640,12.8,79,30,89,5
Reseda Senior High,618,12.66,68,31,89,4
Roosevelt (Theodore) Senior High,535,11.54,82,44,89,4
San Fernando Senior High,561,11.42,86,40,90,5
San Pedro Senior High,620,13.06,47,10,93,3
South Gate Senior High,592,12.08,80,30,83,10
Sylmar Senior High,590,11.8,74,32,87,3
Taft (William Howard) Senior High,694,14.16,46,17,90,4
University Senior High,636,13.22,67,26,78,10
Van Nuys Senior High,647,12.92,78,35,90,3
Venice Senior High,671,13.08,56,26,89,7
Verdugo Hills Senior High,658,13.02,56,20,86,5
Washington (George) Preparatory High,491,12.3,67,18,81,11
Westchester Senior High,600,14.34,41,7,85,7
Wilson (Woodrow) Senior High,556,12.16,77,30,83,10
Kennedy (John F.) High,655,13.12,51,20,89,4
Bravo (Francisco) Medical Magnet High,807,13.42,85,6,94,0
Palisades Charter High,766,15.26,18,7,99,1
City of Angels (Independent Study),575,12.84,28,11,98,1
Marco Antonio Firebaugh High,570,11.74,51,36,73,6
Lynwood High,589,12,53,35,81,7
Monrovia High,688,13.66,45,14,87,5
Schurr High,686,12.44,50,18,81,11
Bell Gardens High,605,11.4,70,29,82,7
Montebello High,635,12.08,63,24,85,7
Glenn (John H.) High,613,12.32,51,18,86,9
La Mirada High,721,13.96,11,6,88,6
Norwalk High,581,12.7,44,17,84,18
Palos Verdes Peninsula High,856,16.8,2,7,96,1
Palos Verdes High,831,16.78,1,1,97,0
Paramount High,667,11.68,84,31,84,11
Ganesha Senior High,626,11.64,77,47,79,10
Garey Senior High,633,11.42,79,49,89,3
Pomona Senior High,620,12.14,68,37,94,4
Diamond Ranch High,807,14.3,20,8,87,8
Santa Monica High,770,15.2,22,10,91,6
Malibu High,830,16.08,8,4,94,6
South Pasadena Senior High,837,15.88,8,6,100,0
Temple City High,798,14.38,33,17,94,2
North High,753,14.3,21,9,93,3
South High,778,15.46,7,6,91,4
Torrance High,760,14.56,14,8,93,5
West High,808,15.42,10,11,97,4
West Covina High,739,13.16,46,6,89,1
California High,709,12.8,39,9,87,4
La Serna High,742,14.2,18,14,90,2
Pioneer High,643,12.32,64,17,79,4
Santa Fe High,685,12.96,47,18,91,3
Whittier High,680,12.9,50,14,90,5
Golden Valley High School,726,13.86,15,15,91,4
West Ranch High,824,15.22,3,4,93,12
Canyon High,753,14.18,8,7,91,8
Hart (William S.) Senior High,776,14.6,8,15,92,3
Valencia High,772,15.32,2,6,92,5
Opportunities for Learning-Santa Clarita,634,13.38,0,0,78,18
Centennial High,531,12.38,100,42,67,9
Compton High,545,12.2,100,39,67,23
La Puente High,612,11.92,61,27,77,9
Los Altos High,743,13.64,35,9,83,8
Wilson (Glen A.) High,761,14.32,30,12,75,10
Workman (William) High,578,11.76,65,34,84,2
Nogales High,654,12.42,59,21,89,4
Rowland (John A.) High,780,13.98,29,17,92,4
Diamond Bar High,846,15.64,9,6,95,2
Walnut High,841,15.56,10,8,95,1
Gabrielino High,781,13.78,48,30,89,3
Mira Costa High,853,16.46,3,1,96,4
Redondo High,790,14.84,15,6,98,0
Alhambra High,721,13.48,61,32,94,2
Mark Keppel High,788,13.54,57,33,93,2
San Gabriel High,697,12.44,79,37,97,0
Chowchilla High,664,12.74,47,15,95,3
Madera High North,682,12.42,67,30,92,4
Yosemite High,780,14.68,18,0,100,0
Novato High,773,14.86,19,12,96,0
San Marin High,803,15.2,11,8,98,0
San Rafael High,700,13.48,22,24,90,6
Terra Linda High,779,15.28,4,15,94,2
Sir Francis Drake High,809,16.06,3,0,100,0
Redwood High,842,16.64,3,1,98,0
Tamalpais High,806,16.36,7,3,97,0
Ukiah High,684,13.38,41,14,97,2
Los Banos High,667,13.16,32,26,77,13
Golden Valley High,683,12.58,45,15,85,14
Buhach Colony High,666,13.24,41,14,73,16
Atwater High,678,12.5,51,20,96,9
Livingston High,700,11.92,64,42,86,14
Merced High,685,12.54,39,17,84,15
Dos Palos High,666,11.88,58,31,77,11
Carmel High,821,15.64,6,2,96,2
Greenfield High,622,11.94,99,43,80,6
King City High,594,12.3,46,10,91,7
Monterey High,718,13.78,33,13,94,3
Seaside High,653,12.76,58,19,92,6
Alisal High,599,11.52,75,56,92,6
Everett Alvarez High,655,12.84,50,34,95,1
North Salinas High,682,12.82,46,26,91,6
Salinas High,689,13.94,25,19,95,2
North Monterey County High,696,12.94,41,18,93,3
Soledad High,616,12.24,86,39,83,10
Gonzales High,632,12.22,53,46,94,9
Vintage High,724,14.08,19,11,82,19
Napa High,721,13.1,32,24,84,16
Bear River High,770,15.32,6,0,100,0
Nevada Union High,771,14.92,12,1,97,3
Cypress High,835,15,11,8,98,1
Anaheim High,669,11.54,74,50,92,2
Oxford High,977,15.86,15,0,100,0
Katella High,669,12.46,58,32,99,2
Kennedy (John F.) High,781,14.6,16,9,97,0
Loara High,731,12.92,52,27,94,1
Magnolia High,690,12.56,57,36,96,1
Savanna High,700,13.2,45,24,100,0
Western High,735,13.42,40,19,97,1
Brea-Olinda High,796,15.36,13,3,97,1
Buena Park High,699,12.54,16,27,94,3
Fullerton Union High,735,13.64,21,18,96,2
La Habra High,756,13.9,1,15,88,2
Sonora High,761,14.04,0,18,95,2
Sunny Hills High,805,15.2,3,7,93,4
Troy High,924,16.04,3,4,93,4
Bolsa Grande High,751,12.94,67,37,97,3
Garden Grove High,765,13.3,48,30,98,1
La Quinta High,827,13.58,61,32,100,0
Los Amigos High,679,12.38,69,45,98,5
Pacifica High,778,14.4,15,10,99,1
Rancho Alamitos High,696,13.08,61,36,97,3
Santiago High,692,11.86,72,46,99,2
Ocean View High,725,13.9,33,17,100,2
Edison High,788,15.4,4,3,96,2
Fountain Valley High,812,15.16,9,3,97,2
Marina High,792,14.94,10,3,92,6
Laguna Beach High,819,16.16,7,2,100,0
Corona del Mar High,866,16.64,3,1,98,1
Costa Mesa High,709,13.38,52,26,96,0
Estancia High,712,12.8,61,35,100,2
Newport Harbor High,784,14.9,26,12,100,0
Canyon High,820,15.28,3,3,93,5
El Modena High,784,14.1,24,15,91,7
Orange High,687,12.38,57,30,93,4
Villa Park High,813,15,12,8,95,2
Esperanza High,838,15.68,5,2,98,1
El Dorado High,819,15.36,7,3,100,0
Valencia High,742,13.68,44,24,98,2
Segerstrom High,772,12.22,55,19,98,0
Century High,578,10.7,69,56,98,1
Orange County High School of the Arts,868,16.22,6,1,94,4
Saddleback High,616,11.28,48,46,94,3
Santa Ana High,652,10.82,66,55,95,4
Valley High,596,10.7,64,53,85,10
El Toro High,800,15.18,9,6,99,0
Laguna Hills High,779,15.46,13,11,99,0
Trabuco Hills High,809,15.22,6,4,97,2
Mission Viejo High,819,15.54,6,4,97,1
Beckman (Arnold O.) High,802,14.88,18,19,98,2
Foothill High,817,15.14,11,8,99,2
Tustin High,702,13.28,29,25,96,1
Los Alamitos High,836,15.56,4,1,97,2
Colfax High,774,14.66,14,0,95,5
Del Oro High,782,15.22,6,1,94,4
Placer High,761,14.94,14,3,96,6
Woodcreek High,760,14.58,7,1,100,0
Granite Bay High,830,15.82,1,0,99,0
Oakmont High,743,14.46,14,2,99,0
Roseville High,735,14.2,17,8,99,0
Tahoe Truckee High,757,14.9,11,13,96,6
Horizon Instructional Systems,679,14.38,22,2,100,1
Lincoln High,704,14.38,26,11,98,0
Whitney High,811,14.92,15,2,97,3
Rocklin High,827,15.46,8,1,100,1
La Sierra High,675,13.02,28,25,95,1
Norte Vista High,614,11.66,43,44,95,0
Banning High,627,12.24,74,20,91,0
Beaumont Senior High,653,13.24,48,6,87,10
Centennial High,691,13.54,42,12,97,6
Santiago High,725,14.2,21,5,99,2
Corona High,709,13.32,45,13,94,6
Norco High,701,13.82,24,6,95,4
Palm Desert High,770,14.54,20,8,95,5
La Quinta High,702,13.92,24,12,95,4
Indio High,613,11.78,54,37,94,7
West Valley High,673,13.2,54,18,84,14
Hemet Senior High,733,13.76,39,8,88,7
Jurupa Valley High,602,12.7,48,24,83,8
Rubidoux High,653,12.74,54,23,86,5
Canyon Springs High,673,13.9,39,10,85,7
Valley View High,676,13.42,46,14,91,5
Vista del Lago High,599,12.98,57,21,77,8
Moreno Valley High,599,12.28,72,32,82,7
Cathedral City High,640,12.38,42,30,93,6
Desert Hot Springs High,612,12.1,53,20,85,3
Palm Springs High,713,13.3,30,13,93,3
Palo Verde High,605,12.1,46,10,85,11
Paloma Valley High,736,13.22,14,8,95,2
Perris High,643,11.72,56,24,89,3
Arlington High,662,12.72,39,10,92,2
King (Martin Luther Jr.) High,759,14.4,10,2,96,2
North (John W.) High,685,12.76,46,15,89,7
Polytechnic High,711,13.52,33,14,93,2
Ramona High,684,12.28,55,16,95,4
San Jacinto High,618,12.42,58,30,82,8
Desert Mirage High,552,10.7,90,65,55,11
Coachella Valley High,552,11.26,82,49,79,5
Lakeside High,685,13.2,44,17,94,0
Temescal Canyon High,704,14.2,25,11,95,1
Elsinore High,715,13.44,34,12,99,1
Great Oak High,792,15.14,5,3,96,2
Temecula Valley High,755,14.72,10,6,98,1
Chaparral High,767,14.48,10,5,96,2
Vista Murrieta High,765,14.68,11,1,98,2
Murrieta Valley High,770,14.8,8,2,95,4
Citrus Hill High,616,12.32,70,21,86,6
Rancho Verde High,653,13.18,52,13,86,6
Monterey Trail High,686,13.68,51,17,97,0
Pleasant Grove High,801,14.8,23,9,100,0
Valley High,669,12.8,73,30,99,2
Florin High,669,12.92,68,30,97,2
Laguna Creek High,699,14.3,37,15,97,1
Sheldon High,734,14.16,36,14,100,1
Franklin High,761,14.98,21,8,98,0
Elk Grove High,742,14.54,19,7,98,3
Cordova High,705,13.78,52,17,95,5
Folsom High,828,15.76,4,1,100,0
Galt High,735,13.58,43,17,94,3
Foothill High,698,13.06,51,18,97,0
Grant Union High,580,12.16,92,39,94,1
Highlands High,658,12.94,50,22,98,0
Rio Linda High,668,12.78,45,19,95,0
Rosemont High,681,13.98,41,13,92,1
West Campus,857,13.94,46,6,88,0
Burbank (Luther) High,602,12.68,61,50,81,9
Johnson (Hiram W.) High,587,11.98,57,41,94,6
Kennedy (John F.) High,701,14.2,34,16,91,4
McClatchy (C. K.) High,715,14.12,36,21,90,2
Mesa Verde High,684,13.72,25,3,98,6
Bella Vista High,773,15.32,7,1,97,4
Visions in Education (Charter),655,14.08,13,11,100,1
Casa Roble Fundamental High,741,14.54,11,1,97,4
Del Campo High,762,14.86,16,1,97,3
El Camino Fundamental High,795,14.92,15,1,95,3
Mira Loma High,757,15.06,31,12,94,5
Rio Americano High,795,16.06,10,2,96,4
San Juan High,652,13.44,51,23,98,2
Center High,759,14.16,24,3,95,9
Inderkum High,712,14.06,22,6,98,2
Natomas High,645,13.08,28,13,95,2
Natomas Charter #19,823,14.74,19,1,85,0
San Benito High,675,13.7,29,7,89,10
Barstow High,609,13.4,43,12,73,14
Big Bear High,754,14.36,24,4,94,2
Alta Loma High,734,14.58,15,4,95,1
Etiwanda High,756,14.38,12,2,89,2
Rancho Cucamonga High,763,14.82,16,2,96,1
Los Osos High,810,14.96,7,1,94,1
Colony High,681,13.52,22,9,94,1
Chaffey High,658,12.14,34,25,90,1
Montclair High,655,11.92,44,28,92,2
Ontario High,646,11.94,39,33,91,0
Lugo (Don Antonio) High,677,13.44,29,9,89,3
Ayala (Ruben S.) High,778,15.42,5,3,97,2
Chino Hills High,749,14.88,10,4,95,3
Chino High,637,13.58,24,12,94,5
Bloomington High,599,12.58,46,19,89,2
Colton High,608,12.9,47,12,92,2
Fontana Miller (A. B.) High,626,12.54,50,28,93,2
Kaiser (Henry J.) High,650,12.78,43,24,92,3
Fontana High,643,12.02,49,37,90,2
Twentynine Palms High,706,13.66,44,2,98,0
Yucca Valley High,697,13.52,38,1,95,2
Redlands East Valley High,729,14.16,22,5,97,2
Redlands Senior High,735,14.3,34,10,94,4
Carter (Wilmer Amina) High,633,13.52,41,11,89,3
Rialto High,637,12.46,55,25,86,5
Eisenhower Senior High,619,12.56,57,23,91,2
Rim of the World Senior High,740,14.28,23,4,94,4
Arroyo Valley High,584,11.78,84,37,82,7
Cajon High,684,13.46,53,8,92,2
Pacific High,569,11.64,83,29,90,4
San Bernardino High,546,11.58,83,33,89,2
San Gorgonio High,619,12.36,74,26,86,2
Options for Youth-Victorville Charter,616,12.98,47,0,64,36
Excelsior Education Center,685,13.58,36,1,85,4
Silverado High,666,13.06,50,10,75,8
Victor Valley High,682,12.92,58,7,79,7
Yucaipa High,727,13.72,24,5,96,0
Yucaipa High School Ninth Grade Campus,744,13.6,24,4,100,0
Serrano High,764,14.06,22,5,77,8
Hesperia High,643,12.7,37,19,76,7
Sultana High,670,13.14,35,10,88,5
Upland High,742,14.54,23,7,97,2
Options for Youth - Upland,609,13.12,41,0,68,20
Apple Valley High,703,13.82,36,4,92,1
Granite Hills High,676,14.3,33,3,89,1
Academy for Academic Excellence,804,14.48,9,0,85,2
Coronado High,852,16.12,4,0,96,4
San Pasqual High,753,14.04,19,16,96,2
Escondido Charter High,817,14.88,0,0,98,2
Escondido High,714,13.1,19,22,96,2
Orange Glen High,667,12.7,32,25,97,2
Valhalla High,758,14.86,10,7,95,9
West Hills High,736,14.26,10,3,99,8
Steele Canyon High,734,14.32,15,7,100,5
El Cajon Valley High,613,12.34,63,33,99,4
El Capitan High,691,13.58,15,4,99,5
Granite Hills High,716,13.9,17,5,97,6
Grossmont High,727,14.16,16,9,98,5
Helix High,733,14.06,48,5,95,4
Monte Vista High,688,13.34,39,15,100,4
Mount Miguel High,653,12.7,47,19,100,5
Santana High,703,13.92,12,4,100,4
Julian Charter,725,14.46,17,0,90,9
Eagles Peak Charter,646,14.18,31,12,93,8
Mt. Carmel High,806,15.76,11,4,99,1
Rancho Bernardo High,823,16.14,4,3,100,0
Westview High,828,16.4,5,4,93,7
Poway High,820,15.64,8,4,98,2
Ramona High,752,13.5,23,6,99,1
Serra Senior High,685,14.08,43,14,88,5
Mira Mesa Senior High,759,14.14,24,9,92,3
University City High,750,15.08,24,7,87,9
San Diego School of Creative & Performin,707,14.4,41,6,87,10
Scripps Ranch High,775,15.72,16,6,95,3
Charter School of San Diego,626,13.56,46,6,78,13
Preuss School UCSD,861,11.88,100,6,93,2
Clairemont Senior High,650,13.6,42,16,81,13
Henry Senior High,731,14.7,28,10,94,3
Hoover Senior High,561,11.78,100,40,93,4
La Jolla Senior High,812,15.56,16,6,90,6
Madison Senior High,625,13.02,54,18,84,16
Mission Bay Senior High,634,12.96,54,18,81,12
Morse Senior High,648,13.8,47,20,86,8
Point Loma Senior High,656,14.1,35,14,87,6
Canyon Crest Academy,868,16.86,3,0,100,0
Torrey Pines High,838,16.8,5,4,99,2
La Costa Canyon High,803,15.72,10,7,98,2
San Dieguito High Academy,829,16.12,5,2,100,0
Southwest Senior High,675,12.64,64,41,98,1
Bonita Vista Senior High,730,14.8,17,12,99,1
Castle Park Senior High,674,12.62,51,35,93,0
Eastlake High,732,15.22,11,9,95,0
Chula Vista Senior High,666,12.82,54,31,87,1
San Ysidro High,613,12.46,60,51,94,3
Otay Ranch Senior High,725,14.68,17,15,94,4
Hilltop Senior High,698,13.92,27,12,99,0
Mar Vista Senior High,659,12.92,50,26,98,0
Sweetwater High,670,12.42,65,34,99,0
Montgomery Senior High,622,13.2,48,31,98,0
Rancho Buena Vista High,732,13.94,27,11,97,3
Guajome Park Academy Charter,729,14.3,14,7,91,2
Vista High,694,13.44,36,17,94,5
Carlsbad High,773,15.4,11,5,97,3
Oceanside High,691,12.72,46,24,97,4
El Camino High,744,13.74,33,16,97,4
Mission Hills High,728,13.78,28,15,97,4
San Marcos High,704,13.4,36,22,98,5
Valley Center High,751,13.3,28,14,100,0
Burton (Phillip & Sala) Academic High,663,12.52,51,19,94,5
Balboa High,672,13.24,58,18,95,5
School of the Arts (High),795,15.14,20,2,95,5
Galileo High,753,12.7,55,18,98,1
Lincoln (Abraham) High,728,13.04,46,24,100,0
Lowell High,934,14.58,34,1,99,1
O'Connell (John A.) High,553,11.94,46,35,90,8
Washington (George) High,732,13.14,46,19,97,1
Escalon High,705,13.24,28,8,96,0
Lincoln High,712,14.14,25,14,85,8
Linden High,661,13.4,35,11,85,5
McNair (Ronald E.) High,622,12.46,67,32,73,13
Bear Creek High,688,13.38,46,23,94,6
Tokay High,702,13.28,45,24,94,2
Lodi High,718,13.76,34,19,95,5
Weston Ranch High,652,13.46,34,7,88,0
Sierra High,693,13.7,27,6,93,2
East Union High,730,13.8,29,6,92,0
Manteca High,683,13,33,8,87,4
Ripon High,744,14.2,17,4,90,7
Cesar Chavez High,620,12.84,57,12,71,18
Edison High,563,12.46,58,19,75,16
Franklin Senior High,563,12.24,54,15,89,5
Stagg Senior High,621,12.88,47,12,81,11
West (Merrill F.) High,691,14.24,20,5,93,1
Tracy High,703,14.48,19,10,94,1
Atascadero High,772,14.76,16,3,100,0
Nipomo High,705,14.04,35,10,100,0
Arroyo Grande High,763,14.54,27,10,99,1
Morro Bay High,825,15.22,22,4,100,0
San Luis Obispo High,790,15.64,20,4,100,0
Templeton High,810,14.76,10,1,98,0
Paso Robles High,720,14.08,25,12,97,2
Half Moon Bay High,744,14.8,18,19,98,0
Jefferson High,648,13.42,48,19,95,2
Terra Nova High,774,14.7,15,0,95,0
Westmoor High,747,14.54,28,10,99,0
Aragon High,810,15.18,6,8,98,0
Burlingame High,796,15.64,3,6,95,2
Capuchino High,705,14,18,12,100,0
Hillsdale High,764,14.92,9,12,100,0
Mills High,829,15.28,6,6,97,1
San Mateo High,752,14.74,10,19,99,1
Carlmont High,791,14.76,15,12,96,4
Menlo-Atherton High,751,14.54,28,23,93,5
Sequoia High,699,12.66,46,35,95,4
Woodside High,733,13.38,30,20,96,2
El Camino High,750,14.3,14,4,91,0
South San Francisco High,718,13.38,29,11,94,4
Carpinteria Senior High,707,14,37,24,95,2
