ps_id,region_name,subregion_name,Baburin Sergei Nikolaevich,Grudinin Pavel Nikolaevich,Zhirinovskiy Vladimir Volfovich,Putin Vladimir Vladimirovich,Sobchak Ksenia Anatolyevna,Suraikin Maksim Aleksandrovich,Titov Boris Yurievich,Yavlinskiy Gregory Alekseivich,Number of ballot papers in ballot boxes,Number of valid ballot papers,Number of voters enlisted,Number of ballot papers in portable ballot boxes,Number of ballot papers given inside the polling station,Number of ballot papers given outside the polling station,Number of ballot papers given for advance voting,Number of excessive ballot papers,Number of ballot papers acquired at the polling station,Number of invalid ballot papers,Number of unused ballot papers,Number of lost ballot papers
588,Altajskij kraj,Alejskaa,3,43,36,339,3,1,1,0,386,426,467,41,386,41,0,0,520,1,93,0
589,Altajskij kraj,Alejskaa,0,68,34,261,2,4,0,0,341,369,427,32,341,32,0,0,440,4,67,0
590,Altajskij kraj,Alejskaa,1,44,44,323,1,2,0,0,377,415,426,39,377,39,0,0,460,1,44,0
763,Altajskij kraj,Zav_alovskaa,6,332,109,820,6,8,2,2,1135,1285,1837,164,1135,164,0,0,1750,14,451,0
764,Altajskij kraj,Zav_alovskaa,8,362,113,1014,7,8,7,6,1418,1525,2101,133,1418,133,0,0,1800,26,249,0
765,Altajskij kraj,Zav_alovskaa,10,272,103,733,4,7,3,4,1079,1136,1593,82,1081,82,0,0,1500,25,337,0
766,Altajskij kraj,Zav_alovskaa,1,24,19,72,0,0,0,0,105,116,140,11,105,11,0,0,150,0,34,0
767,Altajskij kraj,Zav_alovskaa,4,98,55,344,5,9,2,1,478,518,664,46,478,46,0,0,600,6,76,0
768,Altajskij kraj,Zav_alovskaa,1,43,32,219,0,4,2,0,276,301,428,31,276,31,0,0,400,6,93,0
769,Altajskij kraj,Zav_alovskaa,2,145,80,453,6,8,3,1,620,698,842,84,620,84,0,0,800,6,96,0
770,Altajskij kraj,Zav_alovskaa,0,57,14,165,0,1,0,0,227,237,292,13,227,13,0,0,250,3,10,0
771,Altajskij kraj,Zav_alovskaa,2,204,105,412,1,6,2,1,614,733,930,129,614,129,0,0,900,10,157,0
772,Altajskij kraj,Zav_alovskaa,6,193,136,600,2,6,4,0,875,947,1271,89,875,89,0,0,1200,17,236,0
773,Altajskij kraj,Zav_alovskaa,5,149,40,423,4,6,1,1,518,629,861,124,518,124,0,0,800,13,158,0
774,Altajskij kraj,Zav_alovskaa,4,62,40,361,2,3,1,0,414,473,575,67,414,67,0,0,550,8,69,0
775,Altajskij kraj,Zav_alovskaa,4,58,21,254,2,4,1,0,320,344,438,30,320,30,0,0,400,6,50,0
776,Altajskij kraj,Zav_alovskaa,2,251,77,736,3,10,1,1,1000,1081,1478,92,1000,92,0,0,1300,11,208,0
777,Altajskij kraj,Zav_alovskaa,4,223,62,451,5,4,2,1,667,752,1039,94,667,94,0,0,900,9,139,0
779,Altajskij kraj,Zalesovskaa,1,43,24,153,3,1,2,0,198,227,319,30,198,30,0,0,300,1,72,0
780,Altajskij kraj,Zalesovskaa,0,23,4,79,2,0,0,0,100,108,155,9,100,9,0,0,140,1,31,0
781,Altajskij kraj,Zalesovskaa,0,82,24,214,2,10,1,2,301,335,578,38,301,38,0,0,560,4,221,0
782,Altajskij kraj,Zalesovskaa,0,4,5,20,0,0,0,0,29,29,51,0,29,0,0,0,50,0,21,0
783,Altajskij kraj,Zalesovskaa,0,8,3,71,0,1,0,0,78,83,131,5,78,5,0,0,110,0,27,0
784,Altajskij kraj,Zalesovskaa,1,31,36,307,1,1,0,0,331,377,534,46,331,46,0,0,500,0,123,0
785,Altajskij kraj,Zalesovskaa,3,199,39,425,5,3,3,1,641,678,1128,40,641,40,0,0,900,3,219,0
786,Altajskij kraj,Zalesovskaa,3,228,49,417,8,4,3,5,684,717,1183,42,684,42,0,0,900,9,174,0
787,Altajskij kraj,Zalesovskaa,8,205,56,607,8,7,2,1,840,894,1568,58,840,58,0,0,1300,4,402,0
788,Altajskij kraj,Zalesovskaa,4,223,86,544,3,4,1,3,829,868,1571,45,829,45,0,0,1300,6,426,0
789,Altajskij kraj,Zalesovskaa,1,59,12,157,1,4,1,1,224,236,402,14,224,14,0,0,380,2,142,0
790,Altajskij kraj,Zalesovskaa,3,20,16,76,0,0,0,0,108,115,185,8,108,8,0,0,160,1,44,0
791,Altajskij kraj,Zalesovskaa,0,28,30,229,1,1,1,1,268,291,479,28,268,28,0,0,450,5,154,0
792,Altajskij kraj,Zalesovskaa,4,79,51,265,1,5,1,0,375,406,704,37,376,37,0,0,700,6,287,0
793,Altajskij kraj,Zalesovskaa,0,14,8,72,1,0,0,0,89,95,143,7,89,7,0,0,120,1,24,0
794,Altajskij kraj,Zalesovskaa,2,20,21,213,1,4,0,1,237,262,372,25,237,25,0,0,350,0,88,0
795,Altajskij kraj,Zalesovskaa,0,14,22,81,1,1,0,0,115,119,180,4,115,4,0,0,150,0,31,0
796,Altajskij kraj,Zalesovskaa,2,102,57,293,0,6,0,6,420,466,825,52,420,52,0,0,810,6,338,0
797,Altajskij kraj,Zalesovskaa,0,17,8,55,0,0,0,0,61,80,125,19,61,19,0,0,110,0,30,0
798,Altajskij kraj,Zalesovskaa,1,14,1,54,0,3,0,0,71,73,106,3,71,3,0,0,100,1,26,0
799,Altajskij kraj,Zalesovskaa,4,128,56,300,1,3,3,1,461,496,714,38,461,38,0,0,710,3,211,0
801,Altajskij kraj,Zarinskaa,3,26,15,212,2,5,3,0,237,266,391,31,237,31,0,0,375,2,107,0
802,Altajskij kraj,Zarinskaa,0,69,30,276,3,2,1,3,369,384,538,25,369,25,0,0,520,10,126,0
803,Altajskij kraj,Zarinskaa,0,26,18,169,0,0,0,0,201,213,280,14,201,14,0,0,280,2,65,0
804,Altajskij kraj,Zarinskaa,2,28,25,248,5,3,0,1,281,312,396,34,281,34,0,0,360,3,45,0
805,Altajskij kraj,Zarinskaa,5,14,35,153,1,1,1,0,190,210,279,20,190,20,0,0,260,0,50,0
806,Altajskij kraj,Zarinskaa,2,7,20,106,1,1,1,0,121,138,180,20,121,20,0,0,155,3,14,0
807,Altajskij kraj,Zarinskaa,1,10,9,58,1,0,1,0,76,80,98,4,76,4,0,0,90,0,10,0
808,Altajskij kraj,Zarinskaa,1,24,41,250,0,0,2,2,288,320,393,35,288,35,0,0,390,3,67,0
809,Altajskij kraj,Zarinskaa,5,97,47,226,6,7,2,0,364,390,474,30,364,30,0,0,450,4,56,0
810,Altajskij kraj,Zarinskaa,5,169,66,500,7,10,3,6,721,766,1067,58,721,58,0,0,1125,13,346,0
811,Altajskij kraj,Zarinskaa,2,17,20,113,1,1,1,2,144,157,226,14,144,14,0,0,225,1,67,0
812,Altajskij kraj,Zarinskaa,2,11,8,74,1,1,3,0,92,100,116,8,92,8,0,0,105,0,5,0
813,Altajskij kraj,Zarinskaa,0,8,7,28,0,0,0,0,41,43,60,2,41,2,0,0,50,0,7,0
814,Altajskij kraj,Zarinskaa,2,66,23,255,2,1,1,0,320,350,408,33,320,33,0,0,435,3,82,0
815,Altajskij kraj,Zarinskaa,3,47,28,168,2,0,0,0,242,248,330,8,242,8,0,0,320,2,70,0
816,Altajskij kraj,Zarinskaa,0,8,5,26,0,0,0,0,36,39,53,4,36,4,0,0,65,1,25,0
817,Altajskij kraj,Zarinskaa,0,5,8,30,1,3,1,0,48,48,69,0,48,0,0,0,60,0,12,0
818,Altajskij kraj,Zarinskaa,0,48,44,265,1,4,2,1,344,365,514,27,344,27,0,0,495,6,124,0
819,Altajskij kraj,Zarinskaa,0,2,3,73,0,0,0,0,63,78,92,15,63,15,0,0,105,0,27,0
820,Altajskij kraj,Zarinskaa,1,10,18,44,0,0,0,1,71,74,103,4,71,4,0,0,100,1,25,0
821,Altajskij kraj,Zarinskaa,0,14,4,48,0,1,0,0,59,67,78,8,59,8,0,0,75,0,8,0
822,Altajskij kraj,Zarinskaa,1,52,35,277,1,1,0,1,336,368,485,36,336,36,0,0,500,4,128,0
823,Altajskij kraj,Zarinskaa,2,15,10,91,1,0,2,1,116,122,151,6,116,6,0,0,155,0,33,0
824,Altajskij kraj,Zarinskaa,4,72,39,380,3,5,1,1,461,505,637,49,461,49,0,0,640,5,130,0
825,Altajskij kraj,Zarinskaa,0,2,1,33,0,0,0,0,36,36,46,0,36,0,0,0,55,0,19,0
826,Altajskij kraj,Zarinskaa,0,1,7,50,0,1,0,1,55,60,84,5,55,5,0,0,85,0,25,0
827,Altajskij kraj,Zarinskaa,0,11,8,70,0,1,0,0,83,90,123,8,83,8,0,0,115,1,24,0
828,Altajskij kraj,Zarinskaa,1,58,21,241,1,1,1,0,243,324,428,84,243,84,0,0,415,3,88,0
829,Altajskij kraj,Zarinskaa,4,38,30,239,4,2,0,2,295,319,391,28,295,28,0,0,435,4,112,0
830,Altajskij kraj,Zarinskaa,0,15,10,59,1,0,1,2,80,88,120,8,80,8,0,0,110,0,22,0
831,Altajskij kraj,Zarinskaa,3,17,21,133,2,2,3,0,168,181,221,14,168,14,0,0,210,1,28,0
832,Altajskij kraj,Zarinskaa,5,70,64,531,5,3,0,2,636,680,855,50,636,50,0,0,860,6,174,0
833,Altajskij kraj,Zarinskaa,1,35,29,178,2,1,1,10,230,257,313,30,230,30,0,0,300,3,40,0
834,Altajskij kraj,Zarinskaa,3,150,42,488,1,3,2,1,629,690,857,63,629,63,0,0,840,2,148,0
835,Altajskij kraj,Zarinskaa,2,91,65,417,7,3,0,2,537,587,742,58,537,58,0,0,780,8,185,0
836,Altajskij kraj,Zarinskaa,1,27,29,175,0,0,0,0,210,232,346,24,210,24,0,0,335,2,101,0
837,Altajskij kraj,Zarinskaa,2,32,17,143,1,2,0,1,188,198,297,12,188,12,0,0,270,2,70,0
838,Altajskij kraj,Zarinskaa,2,55,15,176,0,3,2,0,249,253,288,5,249,5,0,0,300,1,46,0
839,Altajskij kraj,Zarinskaa,1,18,5,89,3,0,0,0,113,116,129,4,113,4,0,0,130,1,13,0
381,Altajskij kraj,gorodskaa,6,309,96,849,16,10,6,7,1137,1299,1956,180,1137,180,0,0,1700,18,383,0
382,Altajskij kraj,gorodskaa,5,280,79,780,13,8,2,13,1122,1180,1805,72,1122,72,0,0,1800,14,606,0
383,Altajskij kraj,gorodskaa,4,270,93,761,9,5,1,4,1119,1147,1753,52,1119,52,0,0,1700,24,529,0
384,Altajskij kraj,gorodskaa,9,286,80,776,10,6,9,4,1146,1180,1801,54,1146,54,0,0,1700,20,500,0
385,Altajskij kraj,gorodskaa,12,289,100,930,13,3,7,7,1319,1361,1951,59,1319,59,0,0,1800,17,422,0
386,Altajskij kraj,gorodskaa,8,205,83,646,2,5,0,6,897,955,1777,66,897,66,0,0,1700,8,737,0
387,Altajskij kraj,gorodskaa,3,351,124,974,6,7,8,7,1429,1480,2234,69,1430,69,0,0,2100,18,601,0
388,Altajskij kraj,gorodskaa,7,297,71,767,6,3,6,4,1130,1161,1608,42,1130,42,0,0,1500,11,328,0
389,Altajskij kraj,gorodskaa,7,278,81,819,7,7,4,1,1169,1204,1765,45,1169,45,0,0,1700,10,486,0
390,Altajskij kraj,gorodskaa,12,251,69,820,8,8,7,4,1148,1179,1768,40,1148,40,0,0,1700,9,512,0
391,Altajskij kraj,gorodskaa,9,285,89,811,12,3,6,4,1195,1219,1814,44,1196,44,0,0,1700,20,460,0
392,Altajskij kraj,gorodskaa,6,236,87,719,10,7,4,3,1035,1072,1678,52,1035,52,0,0,1600,15,513,0
393,Altajskij kraj,gorodskaa,9,270,68,801,3,7,3,5,1130,1166,1779,46,1132,46,0,0,1700,10,522,0
394,Altajskij kraj,gorodskaa,7,270,75,752,6,7,8,3,1105,1128,1709,40,1106,40,0,0,1600,17,454,0
395,Altajskij kraj,gorodskaa,8,205,78,600,3,4,6,5,831,909,1587,87,831,87,0,0,1500,9,582,0
396,Altajskij kraj,gorodskaa,6,230,113,769,5,9,11,6,1089,1149,2056,79,1089,79,0,0,2000,19,832,0
397,Altajskij kraj,gorodskaa,5,268,95,713,8,5,4,5,998,1103,1804,117,998,117,0,0,1700,12,585,0
398,Altajskij kraj,gorodskaa,12,264,105,709,6,11,3,4,1035,1114,1905,92,1035,92,0,0,1800,13,673,0
399,Altajskij kraj,gorodskaa,10,408,145,1074,13,9,6,0,1548,1665,2701,142,1548,142,0,0,2798,25,1108,0
400,Altajskij kraj,gorodskaa,0,127,66,429,1,6,1,0,565,630,1025,66,565,66,0,0,900,1,269,0
841,Altajskij kraj,Zmeinogorskaa,5,239,73,791,4,4,8,2,1066,1126,1566,73,1066,73,0,0,1300,13,161,0
842,Altajskij kraj,Zmeinogorskaa,2,17,31,138,0,0,0,0,176,188,222,13,176,13,0,0,200,1,11,0
843,Altajskij kraj,Zmeinogorskaa,5,165,52,411,3,3,6,0,598,645,932,56,598,56,0,0,800,9,146,0
844,Altajskij kraj,Zmeinogorskaa,1,8,8,101,0,1,0,0,115,119,169,4,115,4,0,0,150,0,31,0
845,Altajskij kraj,Zmeinogorskaa,0,14,6,44,0,0,0,0,62,64,80,2,62,2,0,0,80,0,16,0
846,Altajskij kraj,Zmeinogorskaa,0,10,17,61,0,3,3,0,92,94,129,4,92,4,0,0,120,2,24,0
847,Altajskij kraj,Zmeinogorskaa,3,108,18,248,1,3,0,0,349,381,550,38,349,38,0,0,500,6,113,0
848,Altajskij kraj,Zmeinogorskaa,1,15,6,30,0,1,1,0,51,54,83,3,51,3,0,0,80,0,26,0
850,Altajskij kraj,Zmeinogorskaa,4,46,8,88,1,2,1,1,117,151,216,36,117,36,0,0,250,2,97,0
852,Altajskij kraj,Zmeinogorskaa,3,77,49,311,4,7,1,0,365,452,644,91,365,90,1,0,600,4,144,0
853,Altajskij kraj,Zmeinogorskaa,0,4,12,54,0,0,0,0,70,70,103,0,70,0,0,0,100,0,30,0
854,Altajskij kraj,Zmeinogorskaa,0,9,6,57,0,0,1,0,71,73,99,3,71,3,0,0,100,1,26,0
855,Altajskij kraj,Zmeinogorskaa,3,124,66,355,6,5,3,4,541,566,934,30,541,30,0,0,800,5,229,0
856,Altajskij kraj,Zmeinogorskaa,0,0,5,43,0,0,1,0,48,49,66,1,48,1,0,0,70,0,21,0
857,Altajskij kraj,Zmeinogorskaa,1,140,58,312,6,8,5,1,489,531,734,47,489,47,0,0,600,5,64,0
858,Altajskij kraj,Zmeinogorskaa,0,100,32,224,2,3,0,0,339,361,533,24,339,24,0,0,500,2,137,0
859,Altajskij kraj,Zmeinogorskaa,2,52,28,93,0,1,0,0,165,176,214,12,165,12,0,0,200,1,23,0
860,Altajskij kraj,Zmeinogorskaa,0,8,14,76,0,0,0,3,99,101,158,3,99,3,0,0,150,1,48,0
861,Altajskij kraj,Zmeinogorskaa,5,158,51,429,2,0,2,2,627,649,1093,38,627,38,0,0,950,16,285,0
862,Altajskij kraj,Zmeinogorskaa,1,139,63,353,4,4,0,0,531,564,1119,40,531,40,0,0,900,7,329,0
863,Altajskij kraj,Zmeinogorskaa,8,133,61,364,4,4,2,2,561,578,1030,26,561,26,0,0,850,9,263,0
864,Altajskij kraj,Zmeinogorskaa,3,150,61,367,3,6,4,6,555,600,983,51,555,51,0,0,800,6,194,0
865,Altajskij kraj,Zmeinogorskaa,4,166,50,497,4,4,4,0,692,729,1133,47,692,47,0,0,800,10,61,0
866,Altajskij kraj,Zmeinogorskaa,2,167,80,388,3,4,1,3,629,648,1195,31,629,31,0,0,900,12,240,0
867,Altajskij kraj,Zmeinogorskaa,8,160,48,381,3,3,2,2,563,607,924,59,563,59,0,0,950,15,328,0
868,Altajskij kraj,Zmeinogorskaa,5,178,49,439,8,11,6,5,646,701,1163,64,646,64,0,0,950,9,240,0
870,Altajskij kraj,Zonal_naa,8,200,72,871,3,13,2,4,1004,1173,1880,175,1005,175,0,0,1750,6,570,0
871,Altajskij kraj,Zonal_naa,16,437,121,1164,10,12,13,6,1669,1779,2714,132,1671,132,0,0,2750,22,947,0
872,Altajskij kraj,Zonal_naa,0,26,18,81,0,0,0,0,114,125,245,13,114,13,0,0,200,2,73,0
873,Altajskij kraj,Zonal_naa,0,30,21,67,0,0,1,0,114,119,179,9,114,9,0,0,150,4,27,0
874,Altajskij kraj,Zonal_naa,4,173,35,378,2,5,0,1,533,598,986,73,533,73,0,0,1000,8,394,0
875,Altajskij kraj,Zonal_naa,5,183,56,607,4,7,5,1,838,868,1499,35,838,35,0,0,1500,5,627,0
876,Altajskij kraj,Zonal_naa,6,96,48,456,1,2,0,2,585,611,808,28,585,28,0,0,750,2,137,0
877,Altajskij kraj,Zonal_naa,3,205,59,525,4,4,0,1,732,801,1340,83,732,83,0,0,1250,14,435,0
878,Altajskij kraj,Zonal_naa,0,13,16,136,3,0,0,0,162,168,306,9,162,9,0,0,300,3,129,0
879,Altajskij kraj,Zonal_naa,0,23,26,159,0,0,0,1,199,209,345,11,199,11,0,0,300,1,90,0
880,Altajskij kraj,Zonal_naa,8,305,128,904,6,16,8,3,1339,1378,2420,89,1340,88,0,0,2450,50,1022,0
881,Altajskij kraj,Zonal_naa,8,245,53,638,4,7,2,4,895,961,1432,72,895,72,0,0,1300,6,333,0
882,Altajskij kraj,Zonal_naa,3,98,53,400,3,5,2,0,502,564,906,63,502,63,0,0,800,1,235,0
884,Altajskij kraj,Kalmanskaa,3,41,23,251,1,2,0,0,290,321,480,34,290,34,0,0,450,3,126,0
885,Altajskij kraj,Kalmanskaa,5,106,41,359,2,2,3,0,486,518,778,45,486,45,0,0,760,13,229,0
886,Altajskij kraj,Kalmanskaa,1,99,19,199,0,4,2,2,279,326,554,53,279,53,0,0,520,6,188,0
887,Altajskij kraj,Kalmanskaa,3,96,41,382,3,7,3,2,528,537,839,26,528,26,0,0,770,17,216,0
888,Altajskij kraj,Kalmanskaa,0,17,9,115,0,0,0,0,134,141,167,8,134,8,0,0,160,1,18,0
889,Altajskij kraj,Kalmanskaa,3,94,36,260,2,3,0,1,385,399,814,23,385,23,0,0,780,9,372,0
