30,78
STATION,MONITOR,LAT,LON,X_COORD,Y_COORD,M971,M972,M973,M974,M975,M976,M977,M978,M979,M9710,M9711,M9712,M981,M982,M983,M984,M985,M986,M987,M988,M989,M9810,M9811,M9812,M991,M992,M993,M994,M995,M996,M997,M998,M999,M9910,M9911,M9912,A971,A972,A973,A974,A975,A976,A977,A978,A979,A9710,A9711,A9712,A981,A982,A983,A984,A985,A986,A987,A988,A989,A9810,A9811,A9812,A991,A992,A993,A994,A995,A996,A997,A998,A999,A9910,A9911,A9912
91,70091,34.050833,-118.454167,365785.4556,3768746.046,5,7,9,8,12,8,9,11,11,9,9,5,6,5,7,10,8,8,12,13,10,9,7,4,5,7,6,11,9,9,9,8,7,12,5,3,2.18548,3.20982,5.10887,4.98750,6.25806,5.06667,5.14919,4.85081,5.15833,4.58065,3.50417,2.33065,3.05645,3.15179,4.41129,4.85000,4.56452,4.76667,5.03226,5.81048,4.95833,4.85484,3.04167,2.39113,2.37903,3.05357,4.31048,4.82083,5.54839,5.30833,4.39113,4.70565,4.74583,4.23387,1.77500,0.88306
94,70094,33.923570,-118.370850,373287.11,3754527.699,6,8,12,10,11,8,8,9,12,8,10,4,6,5,7,8,7,7,9,9,8,9,8,5,6,7,7,10,9,8,7,8,7,16,6,4,3.18145,4.58929,6.14919,6.07083,6.49597,5.77917,5.06048,4.14113,4.54583,4.79435,3.69167,2.05645,2.95161,3.26786,4.62500,5.00417,4.70161,4.64583,4.49597,4.55242,4.82500,5.30242,3.65833,2.66129,2.92742,3.57589,4.89919,5.31250,5.96371,5.28750,4.31855,4.50403,4.70417,4.48790,2.76250,1.56048
3176,30176,33.820278,-117.912500,415554.1819,3742603.346,5,6,10,10,17,13,18,16,17,12,8,5,5,5,7,10,8,18,23,21,17,14,9,5,5,8,7,10,8,11,15,14,12,10,4,4,2.41532,3.29018,4.78226,5.17917,7.92742,6.41667,7.71371,7.52016,6.56250,4.99194,3.29583,3.25403,2.92742,3.16071,1.87097,5.03750,4.74597,5.98333,8.82661,9.35887,6.28333,5.12500,3.30000,2.72984,2.29435,2.77232,3.63306,4.46667,5.01210,6.01250,6.85484,7.01613,5.33333,4.77016,1.60417,1.93952
3177,30177,33.926111,-117.951389,412063.7537,3754370.861,4,5,8,8,10,6,9,10,9,6,5,5,5,6,8,9,7,8,11,15,10,9,7,4,5,6,7,10,8,4,-1000,-1000,-1000,-1000,-1000,4,1.82661,2.52679,3.67339,4.30417,5.22581,3.59167,3.81048,3.64516,3.74583,2.81452,1.90417,1.76613,3.14516,3.54911,4.54839,5.17500,4.60887,4.79167,5.66532,6.37903,4.95833,4.46774,2.89583,1.58065,2.22984,2.73661,4.13710,4.55833,5.09677,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000,-1000.00000
3186,30186,33.627500,-117.690278,435976.8208,3721068.75,5,5,10,8,14,9,11,10,11,8,6,4,5,4,9,12,7,10,13,19,11,9,7,4,5,8,8,11,8,10,10,12,10,12,4,5,2.28226,3.05357,4.46371,4.81250,6.26613,4.87917,4.86290,4.55242,4.47917,3.65323,2.65000,2.16532,2.37903,2.72768,3.81855,4.50417,4.00806,4.46250,5.35887,6.32258,4.68750,4.20968,2.73333,1.87097,1.90726,2.54911,3.95565,5.00000,5.05645,5.05833,4.89516,5.33468,4.89167,4.12097,1.42917,1.72984
3195,30195,33.675110,-117.926900,414076.8421,3726519.161,4,6,9,9,12,7,14,14,13,9,7,4,5,6,8,12,8,9,15,16,11,10,7,5,5,9,9,10,9,9,9,9,9,8,6,4,2.47177,3.62500,5.08468,5.47083,6.32661,5.05417,5.53226,5.47984,5.15000,4.81048,2.95417,2.39516,2.75000,3.27232,4.61290,5.22500,4.79032,4.82917,5.95565,6.58468,4.44583,5.00000,2.78333,2.93145,2.96371,3.51339,5.13710,5.67500,5.78226,5.37083,5.23790,5.38306,4.67917,3.38710,1.85417,1.11694
4137,33137,33.850000,-116.543056,542271.9862,3745618.372,4,6,8,7,9,-1000,-1000,-1000,-1000,-1000,-1000,5,8,6,7,7,6,7,11,13,10,9,8,5,5,7,8,10,8,8,8,9,9,10,6,3,2.68145,3.64286,5.31452,5.23750,0.31048,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,2.41129,3.34274,3.85714,4.60887,4.57083,4.64113,4.59167,5.19355,6.00806,5.58333,5.52016,2.57500,2.51210,2.88710,2.95536,5.13710,5.52083,5.57258,2.22500,4.56452,5.05645,5.10833,4.35887,2.37083,1.51613
4144,33144,34.010278,-117.426389,460628.5061,3763377.527,6,6,9,10,12,14,16,15,10,10,5,5,6,6,8,9,9,13,18,16,13,10,9,6,7,7,8,8,11,13,12,11,12,10,6,4,3.94758,4.76786,5.88710,6.34167,8.26210,7.63333,8.37903,7.03226,5.34583,5.68548,1.01250,3.02823,4.22984,4.25000,5.45968,6.16667,6.05242,6.66667,8.75806,6.39113,6.97500,6.05242,3.65000,3.70161,4.11290,5.01339,4.51210,6.02083,7.13306,8.05417,6.64516,6.64516,6.80417,5.59274,3.12917,2.98790
4149,33149,33.708333,-117.243056,477477.8562,3729843.797,5,6,11,11,16,12,17,19,14,12,9,5,5,5,11,11,9,15,20,20,15,14,8,5,5,9,9,12,11,14,15,14,12,10,7,4,0.61290,4.34821,5.94355,6.50000,9.17339,2.70417,8.86694,8.50000,6.94167,5.29032,4.03750,3.42339,3.38306,3.40625,5.04032,5.69167,4.93145,7.07500,10.04032,10.52016,7.15000,5.77419,3.83750,3.03629,2.99194,3.87054,5.29839,5.73333,6.79839,7.70000,7.47984,7.51613,6.42500,5.01210,2.19167,2.11290
4157,33157,33.714555,-116.233894,570984.8108,3730770.56,5,6,9,10,14,12,14,13,12,12,8,4,5,5,8,8,8,12,15,15,14,12,7,5,5,8,9,8,9,11,11,12,10,10,7,4,3.07661,3.91964,5.50806,6.16250,9.03226,7.27917,8.46774,5.95161,5.60000,5.04032,3.62917,2.78226,3.28226,3.26786,4.15323,4.60417,4.77419,5.84583,8.01613,8.10887,6.61667,5.06855,3.61667,2.58468,2.64516,3.32589,4.40726,4.55417,5.96774,6.82500,6.39113,6.55645,6.10000,4.84274,2.47500,1.85484
4158,33158,33.674010,-117.321140,470230.5502,3726058.069,6,6,9,9,11,-1000,9,10,8,9,8,5,6,6,8,8,8,12,14,13,12,9,8,6,7,7,9,9,10,13,11,9,11,10,6,4,3.64113,4.52679,5.50000,6.25417,0.45565,-1.00000,-0.03629,5.92742,5.40833,5.62903,4.20000,3.59677,4.25000,4.32143,5.12903,5.65833,5.91935,6.54583,7.43548,6.67742,6.26667,5.76210,4.55417,3.66935,3.88710,4.65179,5.70968,5.90833,7.52823,7.17083,6.88306,6.37097,6.13333,5.31855,2.80000,2.14516
4162,33162,33.975620,-117.332630,469273.5024,3759502.621,5,6,-1000,-1000,-1000,-1000,-1000,-1000,-1000,9,10,39,6,7,11,12,9,14,18,16,14,14,8,8,9,11,12,12,11,14,13,12,13,11,13,5,3.49597,3.86607,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,2.75403,4.65833,3.91129,3.87500,4.33036,4.58065,6.55417,4.46371,6.71667,9.54435,9.09274,7.26667,6.05645,4.92083,3.93145,3.53629,4.81696,6.30645,6.32083,7.43952,8.25000,7.63710,7.62500,7.09167,6.22177,3.56250,2.72177
5175,36175,34.103611,-117.629167,441967.9933,3773822.912,5,6,3,12,16,14,18,20,15,13,10,5,6,6,12,10,10,14,22,19,15,14,8,5,6,10,10,12,11,15,15,14,12,11,9,4,3.04839,2.64286,1.36694,6.80000,9.54032,8.04167,9.47177,8.90323,7.47083,5.89919,4.05417,3.56452,3.47177,3.91071,5.33468,6.30000,6.02419,7.21250,10.46774,9.73387,6.07500,6.14919,4.07500,3.37500,3.12097,4.18304,5.41935,5.92917,7.33871,8.46250,8.04435,8.52419,6.90833,5.72177,1.05833,2.06048
5181,36181,34.243889,-117.273611,474805.0231,3789232.296,5,6,10,9,16,12,19,14,18,12,8,5,5,6,10,10,9,17,22,18,14,13,8,5,6,9,8,12,10,15,16,14,12,10,6,4,2.72581,3.40179,4.43548,5.15417,7.82661,6.71667,7.84677,7.57258,6.69583,4.93548,2.92500,3.02823,3.17742,3.37054,4.37097,5.07917,4.93145,6.55833,9.16935,9.17339,5.58750,4.44758,3.51667,2.88710,2.71371,3.65179,4.18952,5.42500,6.39113,6.52500,6.90726,7.03629,5.47083,4.79839,1.80417,1.70161
5197,36197,34.099444,-117.504167,453495.3706,3773296.931,6,6,11,10,15,12,21,16,15,12,9,6,7,6,11,11,11,21,25,21,17,13,10,6,7,8,10,13,14,18,15,15,14,12,8,5,3.66532,4.75446,5.70968,6.26667,9.19355,2.90833,10.49194,9.41935,6.62917,5.91129,4.42917,3.92339,4.17339,4.07589,4.97581,6.44583,6.74194,9.00417,13.43952,12.16935,7.85833,7.33468,6.06250,5.11694,5.18952,4.81250,5.83065,6.38333,8.17339,10.47083,9.64919,9.02823,7.77083,6.74194,4.70833,4.39113
5203,36203,34.107222,-117.273611,474764.3726,3774078.432,5,5,10,9,17,13,18,14,16,12,7,5,5,5,11,10,9,17,20,18,15,13,8,5,5,8,7,12,9,14,14,14,13,9,5,4,2.37903,3.25893,4.65726,5.35417,8.41129,6.62500,7.90726,7.38306,5.91667,5.02419,3.18750,3.15726,2.83871,3.07143,4.30242,5.19167,5.08065,6.40000,9.54032,9.06855,6.27917,4.98790,3.09583,2.63710,2.53226,2.91071,4.00000,4.73333,5.81048,6.97500,6.87097,6.83871,5.26667,4.56855,1.42917,1.95968
5204,36204,34.066667,-117.151389,486030.4791,3769558.26,5,6,11,11,16,14,20,16,17,12,8,5,5,5,11,11,9,18,22,19,16,13,7,6,5,8,8,12,11,16,16,14,14,9,7,4,2.82661,3.99554,5.39113,6.25417,9.70968,8.04167,9.02016,8.50000,6.56250,5.38306,3.50833,3.43145,3.14516,3.29911,4.57258,5.60000,5.06048,6.70833,9.55645,9.85081,6.58750,4.98387,2.90000,3.02016,2.82661,2.76339,4.40323,5.20833,6.79032,8.06250,7.21371,7.92339,6.13333,5.31048,2.05000,2.29032
5212,36512,33.984600,-117.512733,452641.4369,3760566.908,5,6,12,12,16,16,21,18,14,13,9,5,5,5,9,10,9,17,22,20,16,13,8,5,6,8,9,11,11,16,14,15,13,10,7,4,2.68548,4.06696,5.75806,6.51667,9.93952,8.32917,9.75403,9.02823,6.67083,5.48790,3.73750,3.62903,3.51613,3.77232,4.90726,6.01250,5.60081,7.31250,11.00403,10.46371,7.50833,5.66532,4.05000,3.42339,3.27823,3.75000,5.04435,5.66667,7.12097,8.45833,7.97177,8.20968,6.78750,5.75403,2.72083,2.58871
5213,36513,34.262276,-117.188543,482642.1459,3791253.321,5,6,9,12,16,12,18,18,14,12,9,5,5,5,11,11,9,14,19,21,15,14,8,5,5,9,9,11,11,13,15,14,12,10,7,4,2.90726,3.19196,3.34677,5.76250,9.03226,6.21250,8.60887,6.94355,7.03333,5.38710,3.51667,3.12097,3.12097,3.46429,4.82661,5.88750,5.62097,6.82083,9.30242,10.25806,6.97500,5.69355,3.62500,2.61694,2.79839,3.62054,5.16532,5.51250,6.81855,6.26667,5.84677,6.36694,4.45000,5.33871,1.96667,2.07661
591,70591,34.143889,-117.851389,421507.8104,3778437.629,10,6,7,7,16,16,21,17,17,14,9,6,7,6,11,12,11,20,24,21,18,12,9,7,6,9,9,13,13,17,15,14,14,11,8,5,1.81855,3.10268,3.04435,3.68333,6.48790,9.07917,11.44355,10.33065,7.40000,6.71371,2.96250,5.02823,5.45565,5.11607,6.11290,6.80833,6.63710,8.97917,12.94758,11.64113,8.31250,6.75000,5.56250,5.08065,4.23790,5.43750,6.06855,6.82083,8.43952,9.83333,9.27419,9.23790,8.51250,7.00000,4.55833,4.15726
