CASEID,NEWID,EVENT_YR,GUN,GANG,DRUG,X_COORD,Y_COORD
94037,94037,94.00000,1.00000,0.00000,1.00000,80943.28770,110650.70391
94038,94038,94.00000,1.00000,0.00000,0.00000,110182.60059,114151.58027
94039,94039,94.00000,1.00000,0.00000,0.00000,62896.46084,110724.76270
94040,94040,94.00000,1.00000,0.00000,0.00000,62890.03398,110727.05867
94041,94041,94.00000,1.00000,1.00000,0.00000,74055.10996,124422.77575
94042,94042,94.00000,0.00000,0.00000,0.00000,102930.71395,116649.30375
94044,94044,94.00000,1.00000,1.00000,0.00000,109762.74824,115853.75977
94045,94045,94.00000,1.00000,1.00000,0.00000,97724.35938,119703.40625
94046,94046,94.00000,1.00000,1.00000,0.00000,74681.73749,124311.88400
94047,94047,94.00000,0.00000,0.00000,1.00000,103704.74792,117706.65589
94048,94048,94.00000,1.00000,0.00000,0.00000,74269.75781,102613.17969
94050,94050,94.00000,1.00000,1.00000,0.00000,70421.69355,117708.50352
94051,94051,94.00000,1.00000,1.00000,0.00000,70982.02862,121101.01010
94054,94054,94.00000,1.00000,1.00000,0.00000,80758.87305,99577.72383
94055,94055,94.00000,1.00000,0.00000,1.00000,73841.68418,103475.70176
94056,94056,94.00000,1.00000,0.00000,1.00000,73225.08984,126646.20781
94057,94057,94.00000,1.00000,0.00000,1.00000,72641.52734,123778.26953
94058,94058,94.00000,1.00000,0.00000,0.00000,83860.00441,102809.14251
94059,94059,94.00000,1.00000,1.00000,0.00000,80064.57084,99505.52473
94060,94060,94.00000,1.00000,1.00000,0.00000,74266.18802,103590.35957
94061,94061,94.00000,1.00000,0.00000,0.00000,68018.28410,116015.40762
94062,94062,94.00000,1.00000,0.00000,1.00000,95447.67411,118050.12595
94063,94063,94.00000,1.00000,0.00000,0.00000,103717.31602,115649.38008
94064,94064,94.00000,1.00000,1.00000,0.00000,71890.28227,118727.54628
94065,94065,94.00000,1.00000,0.00000,1.00000,73844.32813,102874.27793
94066,94066,94.00000,1.00000,0.00000,0.00000,90991.59746,121249.67162
94067,94067,94.00000,1.00000,0.00000,0.00000,61901.73961,112972.55050
