TOP2,TOP3,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,OBS,YIELD,N,N2,TOPO,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4,SAT,SAT2,NXSAT,SATXT2,SATXT3,SATXT4,SAT2XT2,SAT2XT3,SAT2XT4
0,0,1,0,0,132,0,0,17292,-63.84659638,-33.05152215,33,55.93,131.50,17292.25,4,180.270,32497.2729,23705.5050,0.000,0.000,180.270,0.000,0.000,32497.273,2.17,4.71,285.36,0.00,0.00,2.17,0.00,0.00,4.71
0,0,1,0,0,132,0,0,17292,-63.84652553,-33.05153425,34,58.62,131.50,17292.25,4,168.210,28294.6041,22119.6150,0.000,0.000,168.210,0.000,0.000,28294.604,2.13,4.54,280.09,0.00,0.00,2.13,0.00,0.00,4.54
0,1,0,0,132,0,0,17292,0,-63.84645468,-33.05154635,35,56.70,131.50,17292.25,3,169.490,28726.8601,22287.9350,0.000,169.490,0.000,0.000,28726.860,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84638383,-33.05155844,36,55.81,131.50,17292.25,3,170.710,29141.9041,22448.3650,0.000,170.710,0.000,0.000,29141.904,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84631297,-33.05157054,37,57.50,131.50,17292.25,3,178.140,31733.8596,23425.4100,0.000,178.140,0.000,0.000,31733.860,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84624212,-33.05158264,38,60.83,131.50,17292.25,3,185.370,34362.0369,24376.1550,0.000,185.370,0.000,0.000,34362.037,0.000,2.14,4.58,281.41,0.00,2.14,0.00,0.00,4.58,0.00
0,1,0,0,132,0,0,17292,0,-63.84617127,-33.05159474,39,64.43,131.50,17292.25,3,184.790,34147.3441,24299.8850,0.000,184.790,0.000,0.000,34147.344,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84610042,-33.05160684,40,63.58,131.50,17292.25,3,187.500,35156.2500,24656.2500,0.000,187.500,0.000,0.000,35156.250,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84602956,-33.05161893,41,63.45,131.50,17292.25,3,189.910,36065.8081,24973.1650,0.000,189.910,0.000,0.000,36065.808,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84595871,-33.05163103,42,62.22,131.50,17292.25,3,191.460,36656.9316,25176.9900,0.000,191.460,0.000,0.000,36656.932,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84588786,-33.05164313,43,61.60,131.50,17292.25,3,189.470,35898.8809,24915.3050,0.000,189.470,0.000,0.000,35898.881,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84581701,-33.05165523,44,58.54,131.50,17292.25,3,187.330,35092.5289,24633.8950,0.000,187.330,0.000,0.000,35092.529,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84574615,-33.05166733,45,56.19,131.50,17292.25,3,188.210,35423.0041,24749.6150,0.000,188.210,0.000,0.000,35423.004,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84567530,-33.05167942,46,58.23,131.50,17292.25,3,183.560,33694.2736,24138.1400,0.000,183.560,0.000,0.000,33694.274,0.000,2.13,4.54,280.09,0.00,2.13,0.00,0.00,4.54,0.00
0,1,0,0,132,0,0,17292,0,-63.84560445,-33.05169152,47,60.07,131.50,17292.25,3,181.660,33000.3556,23888.2900,0.000,181.660,0.000,0.000,33000.356,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84553360,-33.05170362,48,58.89,131.50,17292.25,3,187.980,35336.4804,24719.3700,0.000,187.980,0.000,0.000,35336.480,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84546274,-33.05171572,49,54.36,131.50,17292.25,3,187.970,35332.7209,24718.0550,0.000,187.970,0.000,0.000,35332.721,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
0,1,0,0,132,0,0,17292,0,-63.84539189,-33.05172781,50,57.64,131.50,17292.25,3,185.860,34543.9396,24440.5900,0.000,185.860,0.000,0.000,34543.940,0.000,2.15,4.62,282.72,0.00,2.15,0.00,0.00,4.62,0.00
1,0,0,132,0,0,17292,0,0,-63.84532104,-33.05173991,51,59.94,131.50,17292.25,2,182.120,33167.6944,23948.7800,182.120,0.000,0.000,33167.694,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84525019,-33.05175201,52,58.96,131.50,17292.25,2,182.570,33331.8049,24007.9550,182.570,0.000,0.000,33331.805,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84517933,-33.05176411,53,61.77,131.50,17292.25,2,178.070,31708.9249,23416.2050,178.070,0.000,0.000,31708.925,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84510848,-33.05177620,54,66.41,131.50,17292.25,2,177.830,31623.5089,23384.6450,177.830,0.000,0.000,31623.509,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84503763,-33.05178830,55,66.06,131.50,17292.25,2,176.170,31035.8689,23166.3550,176.170,0.000,0.000,31035.869,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84496678,-33.05180040,56,62.13,131.50,17292.25,2,176.560,31173.4336,23217.6400,176.560,0.000,0.000,31173.434,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84489592,-33.05181249,57,63.19,131.50,17292.25,2,177.810,31616.3961,23382.0150,177.810,0.000,0.000,31616.396,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84482507,-33.05182459,58,63.98,131.50,17292.25,2,171.140,29288.8996,22504.9100,171.140,0.000,0.000,29288.900,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84475422,-33.05183669,59,67.59,131.50,17292.25,2,173.930,30251.6449,22871.7950,173.930,0.000,0.000,30251.645,0.000,0.000,2.17,4.71,285.36,2.17,0.00,0.00,4.71,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84468336,-33.05184879,60,68.40,131.50,17292.25,2,171.390,29374.5321,22537.7850,171.390,0.000,0.000,29374.532,0.000,0.000,2.16,4.67,284.04,2.16,0.00,0.00,4.67,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84461251,-33.05186088,61,70.29,131.50,17292.25,2,173.360,30053.6896,22796.8400,173.360,0.000,0.000,30053.690,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84454166,-33.05187298,62,71.00,131.50,17292.25,2,177.070,31353.7849,23284.7050,177.070,0.000,0.000,31353.785,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84447081,-33.05188508,63,71.84,131.50,17292.25,2,173.910,30244.6881,22869.1650,173.910,0.000,0.000,30244.688,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84432910,-33.05190927,64,68.33,131.50,17292.25,2,169.110,28598.1921,22237.9650,169.110,0.000,0.000,28598.192,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84425825,-33.05192137,65,67.20,131.50,17292.25,2,169.180,28621.8724,22247.1700,169.180,0.000,0.000,28621.872,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
1,0,0,132,0,0,17292,0,0,-63.84418739,-33.05193346,66,66.92,131.50,17292.25,2,166.880,27848.9344,21944.7200,166.880,0.000,0.000,27848.934,0.000,0.000,2.15,4.62,282.72,2.15,0.00,0.00,4.62,0.00,0.00
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84411654,-33.05194556,67,70.35,131.50,17292.25,1,168.000,28224.0000,22092.0000,-168.000,-168.000,-168.000,-28224.000,-28224.000,-28224.000,2.15,4.62,282.72,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84404569,-33.05195766,68,67.77,131.50,17292.25,1,162.850,26520.1225,21414.7750,-162.850,-162.850,-162.850,-26520.123,-26520.123,-26520.123,2.14,4.58,281.41,-2.14,-2.14,-2.14,-4.58,-4.58,-4.58
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84397483,-33.05196976,69,68.47,131.50,17292.25,1,169.670,28787.9089,22311.6050,-169.670,-169.670,-169.670,-28787.909,-28787.909,-28787.909,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84390398,-33.05198185,70,68.58,131.50,17292.25,1,168.780,28486.6884,22194.5700,-168.780,-168.780,-168.780,-28486.688,-28486.688,-28486.688,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84383313,-33.05199395,71,67.61,131.50,17292.25,1,168.870,28517.0769,22206.4050,-168.870,-168.870,-168.870,-28517.077,-28517.077,-28517.077,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84376228,-33.05200604,72,69.04,131.50,17292.25,1,166.420,27695.6164,21884.2300,-166.420,-166.420,-166.420,-27695.616,-27695.616,-27695.616,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84369142,-33.05201814,73,64.38,131.50,17292.25,1,168.460,28378.7716,22152.4900,-168.460,-168.460,-168.460,-28378.772,-28378.772,-28378.772,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84362057,-33.05203024,74,66.42,131.50,17292.25,1,165.590,27420.0481,21775.0850,-165.590,-165.590,-165.590,-27420.048,-27420.048,-27420.048,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84354972,-33.05204233,75,63.58,131.50,17292.25,1,162.870,26526.6369,21417.4050,-162.870,-162.870,-162.870,-26526.637,-26526.637,-26526.637,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84347886,-33.05205443,76,62.57,131.50,17292.25,1,171.350,29360.8225,22532.5250,-171.350,-171.350,-171.350,-29360.822,-29360.822,-29360.822,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84291204,-33.05215120,77,71.76,131.50,17292.25,1,163.520,26738.7904,21502.8800,-163.520,-163.520,-163.520,-26738.790,-26738.790,-26738.790,2.15,4.62,282.72,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84284118,-33.05216330,78,70.99,131.50,17292.25,1,165.500,27390.2500,21763.2500,-165.500,-165.500,-165.500,-27390.250,-27390.250,-27390.250,2.15,4.62,282.72,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84248692,-33.05222378,79,69.10,131.50,17292.25,1,169.590,28760.7681,22301.0850,-169.590,-169.590,-169.590,-28760.768,-28760.768,-28760.768,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84241606,-33.05223587,80,76.65,131.50,17292.25,1,169.210,28632.0241,22251.1150,-169.210,-169.210,-169.210,-28632.024,-28632.024,-28632.024,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84234521,-33.05224797,81,79.00,131.50,17292.25,1,174.360,30401.4096,22928.3400,-174.360,-174.360,-174.360,-30401.410,-30401.410,-30401.410,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84227435,-33.05226006,82,70.97,131.50,17292.25,1,172.530,29766.6009,22687.6950,-172.530,-172.530,-172.530,-29766.601,-29766.601,-29766.601,2.13,4.54,280.09,-2.13,-2.13,-2.13,-4.54,-4.54,-4.54
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84220350,-33.05227216,83,76.65,131.50,17292.25,1,181.200,32833.4400,23827.8000,-181.200,-181.200,-181.200,-32833.440,-32833.440,-32833.440,2.10,4.41,276.15,-2.10,-2.10,-2.10,-4.41,-4.41,-4.41
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84213265,-33.05228426,84,76.48,131.50,17292.25,1,174.060,30296.8836,22888.8900,-174.060,-174.060,-174.060,-30296.884,-30296.884,-30296.884,2.07,4.28,272.20,-2.07,-2.07,-2.07,-4.28,-4.28,-4.28
-1,-1,-1,-132,-132,-132,-17292,-17292,-17292,-63.84206179,-33.05229635,85,72.92,131.50,17292.25,1,171.790,29511.8041,22590.3850,-171.790,-171.790,-171.790,-29511.804,-29511.804,-29511.804,2.07,4.28,272.20,-2.07,-2.07,-2.07,-4.28,-4.28,-4.28
0,0,1,0,0,66,0,0,4356,-63.84884928,-33.05107532,86,71.22,66.00,4356.00,4,162.090,26273.1681,10697.9400,0.000,0.000,162.090,0.000,0.000,26273.168,2.21,4.88,145.86,0.00,0.00,2.21,0.00,0.00,4.88
0,0,1,0,0,66,0,0,4356,-63.84877843,-33.05108742,87,67.93,66.00,4356.00,4,173.310,30036.3561,11438.4600,0.000,0.000,173.310,0.000,0.000,30036.356,2.22,4.93,146.52,0.00,0.00,2.22,0.00,0.00,4.93
0,0,1,0,0,66,0,0,4356,-63.84870758,-33.05109952,88,69.86,66.00,4356.00,4,168.830,28503.5689,11142.7800,0.000,0.000,168.830,0.000,0.000,28503.569,2.24,5.02,147.84,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,66,0,0,4356,-63.84863673,-33.05111162,89,74.24,66.00,4356.00,4,174.560,30471.1936,11520.9600,0.000,0.000,174.560,0.000,0.000,30471.194,2.24,5.02,147.84,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,66,0,0,4356,-63.84856587,-33.05112372,90,73.78,66.00,4356.00,4,174.440,30429.3136,11513.0400,0.000,0.000,174.440,0.000,0.000,30429.314,2.24,5.02,147.84,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,66,0,0,4356,-63.84849502,-33.05113582,91,71.99,66.00,4356.00,4,175.780,30898.6084,11601.4800,0.000,0.000,175.780,0.000,0.000,30898.608,2.24,5.02,147.84,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,66,0,0,4356,-63.84842417,-33.05114792,92,67.32,66.00,4356.00,4,175.760,30891.5776,11600.1600,0.000,0.000,175.760,0.000,0.000,30891.578,2.21,4.88,145.86,0.00,0.00,2.21,0.00,0.00,4.88
0,0,1,0,0,66,0,0,4356,-63.84835332,-33.05116002,93,64.41,66.00,4356.00,4,172.480,29749.3504,11383.6800,0.000,0.000,172.480,0.000,0.000,29749.350,2.16,4.67,142.56,0.00,0.00,2.16,0.00,0.00,4.67
0,0,1,0,0,66,0,0,4356,-63.84828247,-33.05117212,94,69.48,66.00,4356.00,4,173.230,30008.6329,11433.1800,0.000,0.000,173.230,0.000,0.000,30008.633,2.17,4.71,143.22,0.00,0.00,2.17,0.00,0.00,4.71
0,0,1,0,0,66,0,0,4356,-63.84821162,-33.05118421,95,74.21,66.00,4356.00,4,173.020,29935.9204,11419.3200,0.000,0.000,173.020,0.000,0.000,29935.920,2.15,4.62,141.90,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,66,0,0,4356,-63.84814076,-33.05119631,96,70.59,66.00,4356.00,4,171.100,29275.2100,11292.6000,0.000,0.000,171.100,0.000,0.000,29275.210,2.15,4.62,141.90,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,66,0,0,4356,-63.84806991,-33.05120841,97,70.03,66.00,4356.00,4,172.260,29673.5076,11369.1600,0.000,0.000,172.260,0.000,0.000,29673.508,2.13,4.54,140.58,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,66,0,0,4356,-63.84799906,-33.05122051,98,67.17,66.00,4356.00,4,171.180,29302.5924,11297.8800,0.000,0.000,171.180,0.000,0.000,29302.592,2.13,4.54,140.58,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,66,0,0,4356,-63.84792821,-33.05123261,99,63.43,66.00,4356.00,4,172.270,29676.9529,11369.8200,0.000,0.000,172.270,0.000,0.000,29676.953,2.13,4.54,140.58,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,66,0,0,4356,-63.84785736,-33.05124471,100,62.75,66.00,4356.00,4,174.000,30276.0000,11484.0000,0.000,0.000,174.000,0.000,0.000,30276.000,2.13,4.54,140.58,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,66,0,0,4356,-63.84778650,-33.05125681,101,64.66,66.00,4356.00,4,171.670,29470.5889,11330.2200,0.000,0.000,171.670,0.000,0.000,29470.589,2.10,4.41,138.60,0.00,0.00,2.10,0.00,0.00,4.41
0,0,1,0,0,66,0,0,4356,-63.84771565,-33.05126891,102,65.65,66.00,4356.00,4,179.220,32119.8084,11828.5200,0.000,0.000,179.220,0.000,0.000,32119.808,2.10,4.41,138.60,0.00,0.00,2.10,0.00,0.00,4.41
0,0,1,0,0,66,0,0,4356,-63.84764480,-33.05128101,103,61.52,66.00,4356.00,4,174.720,30527.0784,11531.5200,0.000,0.000,174.720,0.000,0.000,30527.078,2.10,4.41,138.60,0.00,0.00,2.10,0.00,0.00,4.41
