INDRA,PROV,CIRCUNS,CIRC,PROVINCIA,CIRCUNSCRI,CIRCUITO,APR_1,AL_1,TURNT_1,ELEC_1,VOTPOS_1,AL99CIRC,APR99CIR,TURN99CR,EAST,NORTH,INDRANO,APR99PC,AL99PC,TURN99PC
010080083,01,008,0083,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0083,295.00,1218.00,2507.00,3034.00,2414.00,0.50,0.12,0.83,14446.25,10456.33,10080083,0.122204,0.504557,0.826302
010090084,01,009,0084,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0084,723.00,2312.00,4871.00,5904.00,4685.00,0.49,0.15,0.83,14540.50,10954.58,10090084,0.154322,0.493490,0.825034
010090085,01,009,0085,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0085,722.00,2557.00,5569.00,7409.00,5346.00,0.48,0.14,0.75,14989.50,11559.83,10090085,0.135054,0.478302,0.751653
010090086,01,009,0086,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0086,855.00,3435.00,6630.00,8490.00,6341.00,0.54,0.13,0.78,14841.50,11741.08,10090086,0.134837,0.541713,0.780919
010090087,01,009,0087,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0087,1018.00,3985.00,7613.00,9593.00,7255.00,0.55,0.14,0.79,14394.50,11705.33,10090087,0.140317,0.549276,0.793599
010090088,01,009,0088,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0088,720.00,3183.00,5859.00,7476.00,5603.00,0.57,0.13,0.78,14353.50,12598.33,10090088,0.128503,0.568089,0.783708
010090089,01,009,0089,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0089,268.00,1142.00,2264.00,3090.00,2166.00,0.53,0.12,0.73,15013.50,12441.08,10090089,0.123730,0.527239,0.732686
010090090,01,009,0090,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0090,745.00,3364.00,6083.00,8331.00,5831.00,0.58,0.13,0.73,15168.50,12565.08,10090090,0.127765,0.576916,0.730164
010090091,01,009,0091,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0091,922.00,3770.00,7303.00,9317.00,6947.00,0.54,0.13,0.78,14250.50,12663.08,10090091,0.132719,0.542680,0.783836
010090092,01,009,0092,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0092,552.00,1953.00,3883.00,4919.00,3708.00,0.53,0.15,0.79,14574.50,13260.08,10090092,0.148867,0.526699,0.789388
010090093,01,009,0093,Ciudad Autónoma de Bs.As.,Balvanera Oeste,0093,1187.00,4709.00,8728.00,11441.00,8386.00,0.56,0.14,0.76,15002.50,13237.33,10090093,0.141545,0.561531,0.762870
010100094,01,010,0094,Ciudad Autónoma de Bs.As.,Balvanera Sud,0094,342.00,1317.00,2669.00,3288.00,2556.00,0.52,0.13,0.81,15636.50,11366.08,10100094,0.133803,0.515258,0.811740
010100095,01,010,0095,Ciudad Autónoma de Bs.As.,Balvanera Sud,0095,527.00,2082.00,4193.00,5316.00,3856.00,0.54,0.14,0.79,16106.75,11451.83,10100095,0.136670,0.539938,0.788751
010100096,01,010,0096,Ciudad Autónoma de Bs.As.,Balvanera Sud,0096,555.00,2304.00,4456.00,5765.00,4221.00,0.55,0.13,0.77,16519.25,11606.33,10100096,0.131485,0.545842,0.772940
010100097,01,010,0097,Ciudad Autónoma de Bs.As.,Balvanera Sud,0097,554.00,2151.00,4173.00,5347.00,3994.00,0.54,0.14,0.78,15980.75,11462.58,10100097,0.138708,0.538558,0.780438
010100098,01,010,0098,Ciudad Autónoma de Bs.As.,Balvanera Sud,0098,448.00,1867.00,3693.00,4618.00,3522.00,0.53,0.13,0.80,15404.00,11544.83,10100098,0.127200,0.530097,0.799697
010100099,01,010,0099,Ciudad Autónoma de Bs.As.,Balvanera Sud,0099,631.00,2378.00,4838.00,6225.00,4637.00,0.51,0.14,0.78,15746.75,11813.33,10100099,0.136079,0.512832,0.777189
010100100,01,010,0100,Ciudad Autónoma de Bs.As.,Balvanera Sud,0100,455.00,1837.00,3595.00,4632.00,3467.00,0.53,0.13,0.78,15801.75,11946.58,10100100,0.131237,0.529853,0.776123
010100101,01,010,0101,Ciudad Autónoma de Bs.As.,Balvanera Sud,0101,628.00,2342.00,4674.00,6172.00,4502.00,0.52,0.14,0.76,16379.00,11984.58,10100101,0.139494,0.520213,0.757291
010110102,01,011,0102,Ciudad Autónoma de Bs.As.,Balvanera Norte,0102,898.00,3124.00,6007.00,8152.00,5787.00,0.54,0.16,0.74,16236.50,12235.33,10110102,0.155175,0.539831,0.736874
010110103,01,011,0103,Ciudad Autónoma de Bs.As.,Balvanera Norte,0103,857.00,3537.00,6314.00,8267.00,6114.00,0.58,0.14,0.76,15953.50,12648.33,10110103,0.140170,0.578508,0.763760
010110104,01,011,0104,Ciudad Autónoma de Bs.As.,Balvanera Norte,0104,768.00,3649.00,6544.00,8813.00,6254.00,0.58,0.12,0.74,15311.50,12669.33,10110104,0.122801,0.583467,0.742539
010110105,01,011,0105,Ciudad Autónoma de Bs.As.,Balvanera Norte,0105,751.00,3370.00,5701.00,7617.00,5508.00,0.61,0.14,0.75,15515.25,12804.33,10110105,0.136347,0.611837,0.748457
010110106,01,011,0106,Ciudad Autónoma de Bs.As.,Balvanera Norte,0106,735.00,3308.00,5916.00,8115.00,5647.00,0.59,0.13,0.73,15939.50,12782.08,10110106,0.130158,0.585798,0.729020
010110107,01,011,0107,Ciudad Autónoma de Bs.As.,Balvanera Norte,0107,908.00,2398.00,5010.00,6604.00,4804.00,0.50,0.19,0.76,16091.50,13198.08,10110107,0.189009,0.499167,0.758631
010120108,01,012,0108,Ciudad Autónoma de Bs.As.,Concepción,0108,376.00,1466.00,3276.00,4423.00,3104.00,0.47,0.12,0.74,16928.25,10245.33,10120108,0.121134,0.472294,0.740674
010120109,01,012,0109,Ciudad Autónoma de Bs.As.,Concepción,0109,373.00,1429.00,2919.00,3747.00,2814.00,0.51,0.13,0.78,17181.75,10730.08,10120109,0.132552,0.507818,0.779023
010120110,01,012,0110,Ciudad Autónoma de Bs.As.,Concepción,0110,379.00,1535.00,3027.00,3947.00,2926.00,0.52,0.13,0.77,17779.00,10524.08,10120110,0.129528,0.524607,0.766912
010120111,01,012,0111,Ciudad Autónoma de Bs.As.,Concepción,0111,308.00,1212.00,2354.00,3183.00,2249.00,0.54,0.14,0.74,17311.00,10667.33,10120111,0.136950,0.538906,0.739554
010120112,01,012,0112,Ciudad Autónoma de Bs.As.,Concepción,0112,540.00,2316.00,4474.00,5732.00,4284.00,0.54,0.13,0.78,18114.50,10542.83,10120112,0.126050,0.540616,0.780530
010120113,01,012,0113,Ciudad Autónoma de Bs.As.,Concepción,0113,183.00,919.00,1848.00,2456.00,1769.00,0.52,0.10,0.75,18868.75,10583.83,10120113,0.103448,0.519503,0.752443
010120114,01,012,0114,Ciudad Autónoma de Bs.As.,Concepción,0114,260.00,976.00,1999.00,2854.00,1899.00,0.51,0.14,0.70,18519.50,11175.83,10120114,0.136914,0.513955,0.700420
010120115,01,012,0115,Ciudad Autónoma de Bs.As.,Concepción,0115,616.00,2657.00,5316.00,6783.00,5109.00,0.52,0.12,0.78,18351.25,11208.83,10120115,0.120572,0.520063,0.783724
010120116,01,012,0116,Ciudad Autónoma de Bs.As.,Concepción,0116,437.00,2028.00,4185.00,5588.00,4044.00,0.50,0.11,0.75,17833.00,11060.33,10120116,0.108061,0.501484,0.748926
010120117,01,012,0117,Ciudad Autónoma de Bs.As.,Concepción,0117,705.00,3211.00,6506.00,8040.00,5959.00,0.54,0.12,0.81,16709.50,11022.33,10120117,0.118308,0.538849,0.809204
010130118,01,013,0118,Ciudad Autónoma de Bs.As.,Monserrat,0118,671.00,2500.00,4940.00,6214.00,4706.00,0.53,0.14,0.79,16773.25,11282.33,10130118,0.142584,0.531237,0.794979
010130119,01,013,0119,Ciudad Autónoma de Bs.As.,Monserrat,0119,654.00,2475.00,5093.00,6698.00,4862.00,0.51,0.13,0.76,17178.50,11472.33,10130119,0.134513,0.509050,0.760376
010130120,01,013,0120,Ciudad Autónoma de Bs.As.,Monserrat,0120,349.00,1156.00,2615.00,3881.00,2525.00,0.46,0.14,0.67,17442.75,11301.58,10130120,0.138218,0.457822,0.673795
010130121,01,013,0121,Ciudad Autónoma de Bs.As.,Monserrat,0121,502.00,2140.00,4569.00,6257.00,4375.00,0.49,0.11,0.73,17947.75,11767.83,10130121,0.114743,0.489143,0.730222
010130122,01,013,0122,Ciudad Autónoma de Bs.As.,Monserrat,0122,449.00,1674.00,3694.00,4999.00,3519.00,0.48,0.13,0.74,18208.25,11718.83,10130122,0.127593,0.475703,0.738948
010130123,01,013,0123,Ciudad Autónoma de Bs.As.,Monserrat,0123,191.00,447.00,1244.00,1600.00,1202.00,0.37,0.16,0.78,18761.50,11425.08,10130123,0.158902,0.371880,0.777500
010130124,01,013,0124,Ciudad Autónoma de Bs.As.,Monserrat,0124,134.00,169.00,582.00,770.00,551.00,0.31,0.24,0.76,18551.75,11957.58,10130124,0.243194,0.306715,0.755844
010130125,01,013,0125,Ciudad Autónoma de Bs.As.,Monserrat,0125,272.00,663.00,1760.00,2257.00,1626.00,0.41,0.17,0.78,18202.56,11975.58,10130125,0.167282,0.407749,0.779796
010130126,01,013,0126,Ciudad Autónoma de Bs.As.,Monserrat,0126,335.00,766.00,1797.00,2537.00,1703.00,0.45,0.20,0.71,18011.50,12025.58,10130126,0.196712,0.449794,0.708317
010130127,01,013,0127,Ciudad Autónoma de Bs.As.,Monserrat,0127,341.00,945.00,2013.00,2884.00,1909.00,0.50,0.18,0.70,17428.00,11798.33,10130127,0.178628,0.495024,0.697989
010130128,01,013,0128,Ciudad Autónoma de Bs.As.,Monserrat,0128,686.00,2250.00,4813.00,6482.00,4597.00,0.49,0.15,0.74,17163.75,12038.58,10130128,0.149228,0.489450,0.742518
010130129,01,013,0129,Ciudad Autónoma de Bs.As.,Monserrat,0129,982.00,2521.00,6631.00,8461.00,6379.00,0.40,0.15,0.78,16920.50,11955.83,10130129,0.153943,0.395203,0.783714
010140130,01,014,0130,Ciudad Autónoma de Bs.As.,San Nicolás,0130,1080.00,3733.00,7705.00,10651.00,7393.00,0.50,0.15,0.72,16824.00,12673.58,10140130,0.146084,0.504937,0.723406
