FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MUTLI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
26065004302,Lansing,3116,26,91,2506,109,265,144,42,1533,1583,1521,1478,1574,1557,17,1399,158,1730,831,899,66,279,55,14426,2922,2134,0,66
26065001900,Lansing,634,92,62,331,163,5,65,64,354,280,284,196,283,283,0,234,49,292,183,109,10,34,0,11940,634,243,55000,67
26065004403,Lansing,2095,345,62,1056,211,681,92,49,1074,1021,865,823,1115,1104,11,1060,44,1147,615,532,40,356,54,21667,2095,628,115300,68
26065001200,Lansing,2501,635,198,1416,521,38,349,170,1362,1139,847,821,1086,1047,39,919,128,1126,638,488,89,124,6,27159,2501,721,44100,69
26065004405,Lansing,3537,0,0,2674,308,436,65,32,1689,1848,1689,1848,1714,1655,59,1495,160,1812,749,1063,11,232,44,6250,19,19,0,70
26065002100,Lansing,2444,697,147,1236,666,31,378,94,1191,1253,761,839,1126,1078,48,887,191,1155,583,572,167,106,27,30601,2412,724,42800,71
26065004902,Lansing,3673,530,363,2959,147,365,89,67,1759,1914,1311,1469,2039,1964,75,1665,299,2095,1070,1025,42,700,95,46250,3673,699,180000,72
26045020201,Lansing,2703,535,356,2111,499,0,50,36,1252,1451,819,993,1416,1384,32,1224,160,1446,666,780,66,443,94,55250,2699,109,123600,73
26065002901,Lansing,3109,618,403,2253,593,31,183,38,1451,1658,938,1150,1687,1653,34,1457,196,1695,782,913,90,386,86,45339,2998,310,97100,74
26065002000,Lansing,3819,1084,192,2290,642,134,479,196,2014,1805,1311,1232,1573,1533,40,1247,286,1620,879,741,186,141,19,26171,3784,931,40800,75
26065001701,Lansing,922,136,233,810,77,13,15,7,479,443,293,260,413,408,5,368,40,425,256,169,12,182,6,60063,922,18,136900,76
26045020202,Lansing,4346,1225,338,1874,1774,173,292,220,2077,2269,1265,1518,1895,1824,71,1545,279,1938,930,1008,228,284,42,39278,4339,513,83400,77
26065004402,Lansing,2168,359,0,281,652,992,89,149,1084,1084,897,912,1032,1032,0,913,119,1070,575,495,26,206,57,10399,2166,1115,0,78
26065002400,Lansing,3249,792,310,2380,419,4,323,93,1443,1806,970,1177,1682,1632,50,1403,229,1734,809,925,143,258,41,40811,3233,433,69700,79
26065002200,Lansing,1595,314,224,1308,73,0,138,68,704,891,478,579,839,828,11,734,94,856,423,433,47,234,32,46058,1585,107,85400,80
26065002500,Lansing,2522,662,378,2054,262,5,22,160,1054,1468,636,846,1228,1212,16,1053,159,1249,570,679,53,360,15,42426,2522,122,80100,81
26065005800,Lansing,5199,1351,590,5023,0,19,109,37,2511,2688,1568,1690,2608,2536,72,1802,734,2641,1369,1272,207,623,38,50672,5193,314,124500,82
26065001702,Lansing,3741,861,572,2078,1236,54,243,85,1722,2019,1052,1256,1908,1840,68,1541,299,1950,902,1048,147,531,43,54177,3733,147,108500,83
26065002600,Lansing,2036,382,273,1602,59,0,262,113,955,1081,654,727,1137,1102,35,958,144,1147,519,628,96,213,39,32880,2027,238,64000,84
26065002300,Lansing,3375,723,371,2916,170,16,217,23,1566,1809,1087,1194,1867,1844,23,1602,242,1910,897,1013,118,416,63,40000,3372,251,77200,85
26065005001,Lansing,5934,1464,319,4707,265,758,48,156,2865,3069,1994,2157,3227,3138,89,2712,426,3256,1713,1543,70,1248,145,70082,5921,374,182400,86
26065003700,Lansing,5733,1416,714,3619,1115,13,537,323,2755,2978,1749,1854,2428,2380,48,2007,373,2476,1234,1242,301,302,22,28367,5613,1077,72500,87
26065003602,Lansing,3781,1211,286,1667,1177,324,412,196,1681,2100,1001,1283,1496,1477,19,1271,206,1525,736,789,163,117,0,34248,3743,661,65900,88
26065002800,Lansing,2601,532,388,2105,145,18,224,79,1223,1378,822,859,1302,1270,32,1042,228,1311,663,648,93,170,53,38168,2596,397,73000,89
26065003601,Lansing,3800,1087,341,1257,1869,163,328,153,1805,1995,1063,1309,1641,1619,22,1228,391,1678,850,828,207,243,29,43211,3752,459,69700,90
26065002700,Lansing,3232,763,395,2502,376,56,225,73,1490,1742,966,1108,1689,1666,23,1452,214,1720,834,886,174,249,59,43203,3207,225,65600,91
26045020302,Lansing,4241,970,408,4036,94,20,49,42,2100,2141,1416,1447,2392,2298,94,1959,339,2400,1230,1170,178,657,111,72163,4241,90,140000,92
26065002902,Lansing,3396,346,53,2327,444,296,199,73,1784,1612,1589,1408,2381,2373,8,2166,207,2441,1331,1110,99,683,187,29183,3396,806,60500,93
26045020600,Lansing,6658,1649,578,6345,37,19,177,63,3284,3374,2196,2235,3369,3233,136,2241,992,3411,1774,1637,455,485,83,50217,6616,276,109100,94
26045021400,Lansing,8839,1934,1145,7386,630,176,391,189,4315,4524,2857,2903,4502,4375,127,3725,650,4555,2323,2232,460,890,117,51124,8644,496,111000,95
26065005100,Lansing,3680,1123,240,1661,1379,52,382,162,1695,1985,1021,1296,1670,1665,5,1249,416,1716,791,925,246,228,71,37987,3646,594,70900,96
26065005201,Lansing,4902,1302,329,2995,1060,236,390,195,2182,2720,1337,1934,2296,2244,52,1804,440,2376,1022,1354,237,370,34,31849,4873,729,68800,97
26065005303,Lansing,4782,1022,671,3557,724,38,348,88,2217,2565,1466,1623,2314,2228,86,1762,466,2387,1224,1163,191,550,84,35446,4739,460,85900,98
26065005600,Lansing,3501,654,390,3126,192,0,116,43,1977,1524,1457,1000,1581,1485,96,1197,288,1623,906,717,95,443,47,64680,3112,162,150100,99
26065005304,Lansing,3462,768,378,2181,698,56,273,249,1649,1813,1073,1243,1718,1684,34,1397,287,1721,865,856,207,258,41,31197,3258,581,81000,100
26065005302,Lansing,5630,1369,465,4784,302,58,237,186,2702,2928,1822,1974,3006,2896,110,2354,542,3062,1569,1493,208,744,166,46916,5630,414,106100,101
26065005202,Lansing,3321,1019,210,2931,105,35,175,75,1619,1702,1015,1077,1598,1547,51,1205,342,1630,855,775,44,477,53,63708,3321,141,132800,102
26065005501,Lansing,4684,1038,748,4321,55,65,33,112,2171,2513,1415,1483,2327,2233,94,1968,265,2361,1221,1140,160,574,84,53802,4596,179,125500,103
26065005400,Lansing,7374,1768,711,6731,96,71,286,127,3560,3814,2352,2543,3888,3757,131,3057,700,3985,1993,1992,369,756,111,42789,7367,548,96500,104
26065005502,Lansing,4559,1278,284,4093,176,35,181,69,2185,2374,1433,1564,2385,2326,59,1832,494,2418,1197,1221,206,493,75,52566,4538,196,112700,105
26065006000,Lansing,6591,1603,652,6319,11,21,105,86,3317,3274,2244,2092,3116,2997,119,1273,1724,3189,1813,1376,533,435,50,49167,6530,483,127800,106
26045021200,Lansing,5972,1505,486,5739,17,11,108,73,2996,2976,2022,1959,3217,3128,89,1931,1197,3262,1815,1447,440,605,63,57341,5922,182,125000,107
26045021000,Lansing,7773,1796,844,7399,47,31,191,94,3890,3883,2614,2519,3945,3779,166,2481,1298,4004,2201,1803,552,690,62,55095,7418,303,118800,108
26045020800,Lansing,4886,1136,562,4766,4,8,60,36,2422,2464,1585,1603,2365,2293,72,1261,1032,2420,1318,1102,473,283,23,45245,4860,283,96500,109
26065006300,Lansing,7326,1581,1005,6911,16,124,199,71,3481,3845,2276,2464,3930,3767,163,2994,773,4008,2026,1982,314,726,105,43312,7282,272,107200,110
26065006400,Lansing,6276,1632,470,5966,41,10,191,57,3173,3103,2107,2067,3230,3071,159,1876,1195,3275,1775,1500,340,562,78,58534,6224,389,121300,111
26045020900,Lansing,7520,1901,957,7053,7,33,246,140,3646,3874,2315,2347,3654,3564,90,2539,1025,3720,2000,1720,580,506,66,37161,7446,754,82300,112
26045021300,Lansing,6132,1605,668,5859,10,0,186,44,2924,3208,1858,2001,2866,2795,71,1582,1213,2888,1495,1393,502,413,25,41479,6058,321,91100,113
26065006200,Lansing,5063,1176,419,4842,23,12,84,54,2544,2519,1750,1718,2585,2502,83,1615,887,2663,1423,1240,233,503,54,56532,5049,150,126900,114
26045021100,Lansing,5198,1185,414,4793,203,32,90,47,2634,2564,1838,1761,2530,2432,98,1469,963,2574,1383,1191,371,421,35,45833,4630,279,102600,115
26065006100,Lansing,4371,1071,403,4260,2,12,42,51,2156,2215,1448,1449,2156,2086,70,1279,807,2192,1137,1055,363,352,27,49196,4362,308,101100,116
